,Pitcher,Control,Pi 1,Mu 1,Var 1,Pi 2,Mu 2,Var 2
8,"Manaea, Sean",8.881246525571346,0.6288197021649999,[ 7.89919986 34.78764408],"[[3.02083482 0.93076813]
 [0.93076813 5.40356332]]",0.3711802978350009,[-3.19993084 33.53538339],"[[2.39414666 0.48880259]
 [0.48880259 5.69239319]]"
29,"Greene, Hunter",8.935857994975024,0.5271274263731371,[ 4.81898785 31.6037847 ],"[[ 2.61952658 -0.89430074]
 [-0.89430074  6.02245871]]",0.47287257362686286,[-6.8950692 35.1400195],"[[ 2.71299652 -1.07114423]
 [-1.07114423  5.36992793]]"
15,"Strider, Spencer",8.986761715945391,0.6035849078248223,[ 6.95109707 31.74660434],"[[ 2.63896837 -1.0997441 ]
 [-1.0997441   5.90530305]]",0.39641509217517723,[-3.96281519 34.46933552],"[[ 2.29149707 -0.95660316]
 [-0.95660316  6.36523707]]"
13,"Anderson, Tyler",8.987235910557086,0.5673900084840253,[ 4.23557742 34.08857971],"[[ 2.14156979 -0.1332052 ]
 [-0.1332052   6.88534129]]",0.4326099915159745,[-5.4481737  31.79343154],"[[ 1.71081935 -0.33917873]
 [-0.33917873  6.16349143]]"
40,"Steele, Justin",9.01387978062684,0.5710522097865492,[ 4.66417765 35.7612522 ],"[[2.65083753 1.30924952]
 [1.30924952 6.86383213]]",0.42894779021345103,[-6.10202551 30.38933621],"[[1.80206042 1.15668734]
 [1.15668734 6.09724718]]"
7,"Cole, Gerrit",9.031944487005191,0.5950128291514022,[ 7.76689716 26.33118791],"[[ 2.47277853 -1.43047087]
 [-1.43047087  5.96367083]]",0.4049871708485976,[-2.79419613 31.82361412],"[[ 2.74766927 -1.10316774]
 [-1.10316774  6.19109819]]"
22,"Pivetta, Nick",9.261076912384167,0.6031488336326815,[ 4.83246736 34.77691073],"[[ 2.61336097 -1.42580363]
 [-1.42580363  7.09014054]]",0.3968511663673191,[-4.05850192 35.49932556],"[[ 2.09056671 -1.04991264]
 [-1.04991264  6.28764162]]"
27,"Lauer, Eric",9.266833972259386,0.5648844717996042,[ 6.41699377 36.19513062],"[[2.90131424 1.03020537]
 [1.03020537 5.93777947]]",0.4351155282003962,[-5.05781174 33.00167854],"[[2.47869118 0.60904587]
 [0.60904587 6.98864816]]"
17,"Urías, Julio",9.274891730239963,0.6425873855232016,[ 4.97125055 34.49287153],"[[2.93759359 0.52145783]
 [0.52145783 6.9747215 ]]",0.3574126144767972,[-5.96757374 35.37656212],"[[1.91104639 1.09056467]
 [1.09056467 6.10501338]]"
32,"Bubic, Kris",9.29390051737133,0.5505073134917534,[ 3.03599264 35.31782194],"[[2.59905418 0.85336943]
 [0.85336943 6.88172538]]",0.4494926865082464,[-6.44480918 31.40841347],"[[1.78878983 0.08263473]
 [0.08263473 6.99874917]]"
10,"Snell, Blake",9.378009725995108,0.6726464919193912,[ 7.29659555 32.48449392],"[[2.66283623 1.20461391]
 [1.20461391 6.83704331]]",0.32735350808060887,[-4.78080929 35.63607936],"[[2.00732961 1.24057723]
 [1.24057723 7.62891796]]"
12,"McKenzie, Triston",9.407019099771244,0.5783286697442168,[ 4.49404027 32.46770871],"[[1.7828329  0.18090994]
 [0.18090994 7.6344243 ]]",0.4216713302557831,[-3.71513657 35.67046491],"[[ 1.63145104 -0.21137432]
 [-0.21137432  8.08449633]]"
33,"Cease, Dylan",9.549424932095365,0.6298766481911297,[ 7.18832149 35.15807503],"[[ 2.15905124 -0.80388842]
 [-0.80388842  7.85730811]]",0.37012335180887,[-2.741951   35.37608195],"[[ 1.71625899 -0.65122002]
 [-0.65122002  7.91046117]]"
24,"Lynch IV, Daniel",9.562884206768807,0.596364100245448,[ 4.10866888 36.47535099],"[[2.93459816 0.46657879]
 [0.46657879 7.14117234]]",0.40363589975455155,[-6.45639264 33.85764282],"[[2.55543747 0.77518697]
 [0.77518697 6.45873957]]"
38,"Kopech, Michael",9.577424027341916,0.5523794839491609,[ 3.22033836 33.93603482],"[[ 2.4930669  -0.70151046]
 [-0.70151046  7.06661858]]",0.44762051605083886,[-5.87437846 35.90998941],"[[ 2.22650637 -1.09736644]
 [-1.09736644  7.74860676]]"
6,"Cortes, Nestor",9.59510021548844,0.5951852496221676,[ 4.32462482 33.81935794],"[[ 2.79648024 -0.75689607]
 [-0.75689607  7.3459306 ]]",0.40481475037783293,[-6.51718543 33.77066714],"[[1.66562868 0.01986519]
 [0.01986519 7.66769563]]"
5,"Garcia, Luis",9.696885851230414,0.6182019380035758,[ 4.66048622 30.13778068],"[[ 3.79253485 -2.01727056]
 [-2.01727056  5.71988701]]",0.3817980619964241,[ 0.26227247 30.5759237 ],"[[ 3.73841801 -1.0454316 ]
 [-1.0454316   6.35323571]]"
16,"Gilbert, Logan",9.857565590543414,0.6902706586774312,[ 0.51644498 34.64862389],"[[ 4.63995409 -2.07155386]
 [-2.07155386  5.94209168]]",0.3097293413225686,[-1.42552263 35.04431521],"[[4.67664775 2.40971953]
 [2.40971953 4.27434893]]"
26,"Giolito, Lucas",10.187075159080884,0.5708956276060388,[ 5.28007243 32.94508783],"[[ 1.74712344 -0.65718208]
 [-0.65718208  9.92345742]]",0.42910437239396176,[-4.53001363 35.40279783],"[[ 1.85535734 -0.81725134]
 [-0.81725134  9.41427729]]"
