,Pitcher,Control,Pi 1,Mu 1,Var 1,Pi 2,Mu 2,Var 2
9,"Taillon, Jameson",8.667187759305097,0.6474143650948344,[ 1.18682949 39.48225158],"[[ 3.69947524 -1.36308024]
 [-1.36308024  5.34286856]]",0.35258563490516515,[-9.40706851 29.42621213],"[[ 2.74104992 -1.18690871]
 [-1.18690871  3.78894159]]"
1,"Verlander, Justin",8.748624903761874,0.5487741749658865,[ 3.24389594 36.14016227],"[[ 2.47450462 -0.06335011]
 [-0.06335011  5.26365421]]",0.45122582503411324,[-7.10592526 36.27483533],"[[2.6593142  0.02612803]
 [0.02612803 5.51940928]]"
2,"Javier, Cristian",8.758951944214587,0.5464943676954536,[ 2.12079852 37.36246446],"[[ 2.26123723 -0.97052366]
 [-0.97052366  6.46377447]]",0.453505632304546,[-7.26494097 36.59163949],"[[ 1.98246788 -1.26810256]
 [-1.26810256  5.56204414]]"
25,"Gray, Jon",8.823935533772802,0.5582443178131972,[ 3.2895463  31.81338168],"[[ 2.58322633 -1.28338941]
 [-1.28338941  5.9114332 ]]",0.44175568218680267,[-7.38309727 32.04241104],"[[ 2.00550849 -1.39517536]
 [-1.39517536  6.17170154]]"
22,"Pivetta, Nick",8.887937479769347,0.49260882576705367,[ 3.84511428 33.74358361],"[[2.25615813e+00 1.31667038e-03]
 [1.31667038e-03 6.15625753e+00]]",0.5073911742329463,[-6.35579457 37.18823322],"[[ 1.98475272 -0.00904084]
 [-0.00904084  6.36616005]]"
28,"Gallen, Zac",8.890147823809267,0.5374588754773791,[ 1.6030155  36.55891701],"[[ 3.43081839 -1.52710493]
 [-1.52710493  6.42921708]]",0.4625411245226207,[-7.51767465 28.39984261],"[[ 2.46791052 -0.87484272]
 [-0.87484272  4.26205961]]"
21,"Scherzer, Max",8.900260446612313,0.5479336456284059,[ 3.14330343 34.01666988],"[[ 2.68104881 -1.0860063 ]
 [-1.0860063   5.61369672]]",0.45206635437159404,[-5.8837337  33.17940353],"[[ 2.44525662 -1.32159265]
 [-1.32159265  5.92108228]]"
5,"Garcia, Luis",8.960789706578797,0.5761437214397841,[ 3.73039054 30.553082  ],"[[ 2.24317665 -0.59899235]
 [-0.59899235  6.63689259]]",0.4238562785602157,[-4.78949911 32.53812407],"[[ 1.49717424 -0.56471788]
 [-0.56471788  6.77520824]]"
29,"Greene, Hunter",8.990598815126802,0.546313333856622,[ 5.18988881 34.0685016 ],"[[ 2.80929037 -0.28555762]
 [-0.28555762  5.2348276 ]]",0.45368666614337805,[-6.64233322 36.36116225],"[[ 2.66083942 -0.31924978]
 [-0.31924978  6.14687814]]"
24,"Lynch IV, Daniel",9.058977139375118,0.4997992793042189,[ 1.54448475 31.69326337],"[[2.57579816 1.2792686 ]
 [1.2792686  7.69650468]]",0.500200720695781,[-9.1808688  27.72074515],"[[1.95200725 0.92894336]
 [0.92894336 5.94351725]]"
36,"Gray, Josiah",9.166757567999865,0.5220454954645328,[ 2.46245644 37.26918856],"[[ 2.77687343 -0.37382092]
 [-0.37382092  5.74080902]]",0.4779545045354673,[-9.57942962 37.5140201 ],"[[ 2.86792286 -0.50601853]
 [-0.50601853  6.32295218]]"
26,"Giolito, Lucas",9.28719614509706,0.5962873005706202,[ 4.94549277 33.38499068],"[[ 1.81069951 -0.29655732]
 [-0.29655732  7.28069373]]",0.4037126994293799,[-3.62391266 37.68775243],"[[1.38862397 0.08507824]
 [0.08507824 8.15007856]]"
7,"Cole, Gerrit",9.388644543143158,0.4594615606638151,[ 1.09823765 32.66086673],"[[ 2.6815031  -0.27298947]
 [-0.27298947  7.2100191 ]]",0.5405384393361848,[-9.40162374 30.54058799],"[[ 2.61292902 -1.01682972]
 [-1.01682972  6.01007247]]"
12,"McKenzie, Triston",9.399355672413447,0.5358857518890124,[ 1.76080117 31.72535917],"[[1.9766116  0.5288918 ]
 [0.5288918  7.26743216]]",0.4641142481109876,[-6.61574049 35.57181074],"[[1.56333031 0.86810518]
 [0.86810518 8.44293451]]"
30,"Kaprielian, James",9.483009659849097,0.5379484894575781,[ 3.48950497 34.55564004],"[[ 4.01149856 -0.23319762]
 [-0.23319762  5.82616854]]",0.46205151054242183,[-9.77367629 33.56036136],"[[ 3.2074026  -0.15435789]
 [-0.15435789  5.25824456]]"
33,"Cease, Dylan",9.686572992661524,0.5989517936872124,[ 5.90913758 35.29183793],"[[ 2.77311933 -0.53941949]
 [-0.53941949  7.80731541]]",0.40104820631278715,[-5.14514114 39.43226553],"[[ 2.13554784 -0.06245532]
 [-0.06245532  7.15255349]]"
32,"Bubic, Kris",9.74425412396713,0.5021652175894195,[-2.63836018 34.03357427],"[[ 3.34783837 -1.46740274]
 [-1.46740274  5.99610849]]",0.49783478241058066,[-4.87153859 30.48092716],"[[5.27982197 2.19797689]
 [2.19797689 4.90360547]]"
38,"Kopech, Michael",9.931872959176182,0.5542819281276875,[ 2.70748257 34.17171577],"[[ 3.16246063 -0.84733319]
 [-0.84733319  7.19912358]]",0.44571807187231266,[-8.68016529 37.78271058],"[[ 2.82711461 -0.86459386]
 [-0.86459386  7.5200134 ]]"
19,"Manoah, Alek",10.278155156235403,0.4624002240916365,[-2.94872498 36.95045168],"[[ 5.26216979 -3.62706022]
 [-3.62706022  5.66812961]]",0.5375997759083632,[-3.32619945 33.49453515],"[[ 5.29747585 -0.46591513]
 [-0.46591513  5.788434  ]]"
