,Pitcher,Control,Pis,Mus,Covariances
20,"Yarbrough, Ryan",8.752514771,"[0.07667313,0.49658869,0.42673818]","[[-0.1869915,1.94739296],[0.76299377,1.31173621],[0.77656581,2.21472776]]","[[[0.13254103,-0.00061799],[-0.00061799,0.00072445]],[[0.36913455,0.04702303],[0.04702303,0.13033255]],[[0.44415349,-0.02615922],[-0.02615922,0.08857108]]]"
16,"Williamson, Brandon",8.810296425,"[0.09425459,0.46695254,0.21662761,0.22216526]","[[1.39358718,3.47287144],[0.14207223,1.83682335],[0.6215597,2.48181308],[-0.02789414,0.54997127]]","[[[0.03715416,-0.01090335],[-0.01090335,0.10875039]],[[0.29102396,0.16541995],[0.16541995,0.22159316]],[[0.24857013,-0.00359399],[-0.00359399,0.63672007]],[[0.26043675,0.05191835],[0.05191835,0.11685488]]]"
1,"Sears, JP",8.857864037,"[0.58689651,0.41310349]","[[0.84291312,2.1210132],[-0.12288872,1.92668347]]","[[[0.27411536,0.02963657],[0.02963657,0.23141391]],[[0.22530489,0.05382589],[0.05382589,0.21284692]]]"
24,"Montgomery, Jordan",9.029584419,"[0.24292316,0.75707684]","[[0.51983281,1.06765648],[0.67900615,2.345082]]","[[[0.35677559,0.08998855],[0.08998855,0.17604923]],[[0.26067699,0.10043839],[0.10043839,0.33044819]]]"
31,"Wood, Alex",9.148778292,"[0.58044265,0.41955735]","[[0.38432209,1.60298784],[0.99372129,2.12610214]]","[[[0.37641035,0.02927192],[0.02927192,0.14712561]],[[0.37529982,0.06673049],[0.06673049,0.22384021]]]"
25,"Manaea, Sean",9.151030991,"[0.57001476,0.29759612,0.13238912]","[[-0.09542079,2.25422008],[0.08965511,1.3663001],[1.06781405,2.40150618]]","[[[0.25713961,0.06088814],[0.06088814,0.20737949]],[[0.41336003,0.13005694],[0.13005694,0.12189472]],[[0.10909649,0.1150922],[0.1150922,0.62482881]]]"
35,"Allen, Logan",9.203037951,"[0.14458007,0.61212498,0.24329495]","[[0.53864735,1.02281188],[0.75546044,2.06032844],[-0.09821181,1.50637388]]","[[[0.22238856,-0.09639477],[-0.09639477,0.10848347]],[[0.18036975,0.04661723],[0.04661723,0.30376661]],[[0.1290208,0.11152366],[0.11152366,0.38424723]]]"
26,"Abbott, Andrew",9.418574525,"[0.68819039,0.31180961]","[[0.88476554,2.12289946],[0.10925446,1.1703067]]","[[[0.22178954,-0.06815313],[-0.06815313,0.43271618]],[[0.11033218,-0.02824854],[-0.02824854,0.35419467]]]"
12,"Heaney, Andrew",9.479735551,"[0.77433791,0.22566209]","[[0.80093287,2.35317433],[-0.23413803,1.45768906]]","[[[0.29315018,0.08402434],[0.08402434,0.35078]],[[0.14923582,-0.01961901],[-0.01961901,0.20896019]]]"
34,"Sandoval, Patrick",9.566950369,"[0.061166,0.4602013,0.28753628,0.19109642]","[[0.97788154,3.60853662],[0.27508169,1.24154753],[0.13574545,2.47148249],[1.10860876,2.3532435]]","[[[0.17524777,-0.06904532],[-0.06904532,0.0522847]],[[0.36289297,0.05240767],[0.05240767,0.40813848]],[[0.28608621,0.1711871],[0.1711871,0.30989291]],[[0.11230424,0.14538931],[0.14538931,0.38172143]]]"
