,Pitcher,Control,Pis,Mus,Covariances
93,"Snell, Blake",7.0889113316606505,[0.15176801 0.23624365 0.19138439 0.30245664 0.11814731],"[[-0.5935155   1.75902886]
 [-1.30490397  0.53427998]
 [-0.20029228  2.64629702]
 [-0.7354786   1.09065058]
 [ 0.07026658  1.73259481]]","[[[ 0.10686706 -0.09701067]
  [-0.09701067  0.11039927]]

 [[ 0.06448161  0.03653751]
  [ 0.03653751  0.18865504]]

 [[ 0.12108227  0.08198747]
  [ 0.08198747  0.20520176]]

 [[ 0.06222526 -0.09604623]
  [-0.09604623  0.35475946]]

 [[ 0.0851062   0.02387285]
  [ 0.02387285  0.33015249]]]"
101,"Maeda, Kenta",7.605720803071271,[0.3694967  0.22210556 0.40839775],"[[1.34279533 1.63996033]
 [0.18536601 2.54553607]
 [0.57396664 1.57950979]]","[[[ 0.17902427 -0.13562345]
  [-0.13562345  0.2090415 ]]

 [[ 0.21110064 -0.02030763]
  [-0.02030763  0.10840157]]

 [[ 0.16204999 -0.07184775]
  [-0.07184775  0.27989765]]]"
58,"Gibson, Kyle",7.750784078055661,[0.63461958 0.36538042],"[[1.19737882 1.29838625]
 [0.48515872 2.10071368]]","[[[ 0.15727691 -0.04645439]
  [-0.04645439  0.23675679]]

 [[ 0.20608361 -0.02947463]
  [-0.02947463  0.14078506]]]"
87,"Mahle, Tyler",7.826606952351872,[0.52081175 0.47918825],"[[1.05607521 1.27777969]
 [0.38316698 2.31262488]]","[[[ 0.16853775  0.00508868]
  [ 0.00508868  0.25279207]]

 [[ 0.16008936 -0.03620392]
  [-0.03620392  0.23967419]]]"
5,"Cease, Dylan",7.9080834983468264,[0.31949483 0.52776695 0.15273823],"[[1.22164683 1.10014873]
 [0.64654658 2.22073589]
 [0.11879495 3.26737238]]","[[[ 0.21751641 -0.00028649]
  [-0.00028649  0.2112434 ]]

 [[ 0.27936085  0.04624331]
  [ 0.04624331  0.23394473]]

 [[ 0.14180549  0.01033301]
  [ 0.01033301  0.16443289]]]"
65,"Eovaldi, Nathan",7.956154830355519,[0.23642991 0.1156666  0.64790349],"[[ 1.02474874  1.09497821]
 [-0.17572305  2.48144747]
 [ 0.6232066   1.91712212]]","[[[ 0.24012164 -0.00311156]
  [-0.00311156  0.16592292]]

 [[ 0.01212717  0.00462976]
  [ 0.00462976  0.1347768 ]]

 [[ 0.24779908 -0.06842859]
  [-0.06842859  0.24770299]]]"
83,"Corbin, Patrick",8.09668332598655,[0.2314614  0.33688649 0.15493712 0.27671498],"[[-0.0201878   1.00926287]
 [-0.11321218  2.09088857]
 [-0.78521501  0.09421401]
 [-0.68428612  1.01200988]]","[[[0.19959456 0.03137922]
  [0.03137922 0.40567366]]

 [[0.26996437 0.02142701]
  [0.02142701 0.22853354]]

 [[0.12084254 0.04941585]
  [0.04941585 0.1125517 ]]

 [[0.19549042 0.00919134]
  [0.00919134 0.18179849]]]"
54,"Crowe, Wil",8.109863896123729,[0.38215765 0.40623565 0.2116067 ],"[[-0.116962    2.28570936]
 [ 0.90054631  1.76863632]
 [ 1.16659268  0.6247599 ]]","[[[ 0.19067317  0.00212741]
  [ 0.00212741  0.41948433]]

 [[ 0.14669966  0.00388195]
  [ 0.00388195  0.30006316]]

 [[ 0.2082549  -0.00426962]
  [-0.00426962  0.11774544]]]"
78,"Scherzer, Max",8.17053150278321,[0.53363688 0.46636312],"[[0.17813084 2.12799249]
 [0.93201926 1.19594484]]","[[[ 0.2170984  -0.01709797]
  [-0.01709797  0.17312915]]

 [[ 0.27102053 -0.01963363]
  [-0.01963363  0.22597049]]]"
9,"Romo, Sergio",8.183788403730286,[0.64683948 0.17146467 0.18169585],"[[ 0.97054538  1.67070092]
 [ 0.35022266  2.47420916]
 [-0.50960803  1.94324794]]","[[[ 0.32725911 -0.03175365]
  [-0.03175365  0.19410539]]

 [[ 0.06689083  0.0071694 ]
  [ 0.0071694   0.07259322]]

 [[ 0.06104202 -0.02611126]
  [-0.02611126  0.23295271]]]"
96,"Harvey, Matt",8.22586369140365,[0.2327603 0.7672397],"[[0.32331497 3.01795082]
 [1.01312196 1.85932039]]","[[[ 0.10951488 -0.00994452]
  [-0.00994452  0.09798801]]

 [[ 0.27204029 -0.03079431]
  [-0.03079431  0.3138076 ]]]"
