,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
20,"Glasnow, Tyler",6.777537837,10.95049717,9.208191191,[0.1722959 0.8277041],"[[0.78379841 0.80064162],[0.19585658 2.18296015]]","[[[0.06219517 -0.03895346],[-0.03895346 0.14333711]]:[[0.25618608 -0.13151923],[-0.13151923 0.58207931]]]"
13,"Verlander, Justin",5.8615877,9.333288139,9.283688248,[1.],[[0.50061538 2.02726923]],"[[[0.22016831 -0.11876332],[-0.11876332 0.55444931]]]"
7,"Greene, Hunter",7.647630442,10.58089131,9.436813591,[0.12427343 0.87572657],"[[1.16943343 1.61584913],[-0.0727785 1.94064888]]","[[[0.06843939 0.05673816],[0.05673816 0.59062581]]:[[0.35500601 -0.20432151],[-0.20432151 0.4423821]]]"
1,"Bradish, Kyle",7.291337562,11.64657911,9.557824013,[0.68048083 0.31951917],"[[-0.24828917 2.40853346],[0.61872819 1.41345945]]","[[[0.30024982 -0.05606463],[-0.05606463 0.48346527]]:[[0.21657081 -0.18187511],[-0.18187511 0.46886658]]]"
18,"Luzardo, Jesús",6.087842032,12.51435745,9.696712196,[0.36913696 0.63086304],"[[-0.04736146 2.11334253],[-1.27582766 1.19168177]]","[[[0.23803931 0.25409265],[0.25409265 0.69404533]]:[[0.23023698 0.25298686],[0.25298686 0.5522322]]]"
23,"Gray, Josiah",7.896137681,11.70891402,9.784613526,[0.66950542 0.33049458],"[[-0.22569512 1.78040788],[-0.28925632 3.02504706]]","[[[0.35694513 -0.08245004],[-0.08245004 0.32917011]]:[[0.53672304 -0.03267198],[-0.03267198 0.25701774]]]"
15,"Brash, Matt",8.594711466,12.53043307,9.7956793,[0.57491566 0.42508434],"[[0.4401215 1.35743477],[-0.1992101 2.66723997]]","[[[0.47082477 -0.02247923],[-0.02247923 0.37064164]]:[[0.39298715 -0.00671399],[-0.00671399 0.36777684]]]"
31,"Santos, Gregory",6.276731533,10.27418288,10.18037965,[1.],[[0.24416988 1.97131274]],"[[[0.40506006 -0.14754988],[-0.14754988 0.39266955]]]"
12,"Abreu, Bryan",7.462739607,11.4035576,10.36129397,[0.11571572 0.88428428],"[[-0.31955679 3.27357797],[0.27109805 1.87505816]]","[[[0.3918418 -0.04875545],[-0.04875545 0.03899417]]:[[0.62315999 -0.19979333][-0.19979333 0.41289551]]]"
9,"Vasquez, Andrew",6.472080245,10.46904994,10.43941914,[1.],[[-0.35462633 2.41743772]],"[[[0.59939383 0.18735825],[0.18735825 0.45444497]]]"
5,"Lorenzen, Michael",6.093156501,10.94182743,10.91168027,[1.],[[-0.02855895 1.91179039]],"[[[0.33367622 -0.22904887],[-0.22904887 0.62021745]]]"
24,"Steele, Justin",7.549951889,11.01825538,10.95532079,[1.],[[-0.60069959 1.87436214]],"[[[0.42268652 0.28242445],[0.28242445 0.7541902]]]"
10,"Okert, Steven",8.19106648,11.05781171,11.0244977,[1.],[[-0.36930612 2.21020408]],"[[[0.70941889 0.39751414],[0.39751414 0.50253524]]]"
28,"Junis, Jakob",6.347464894,11.54853862,11.46853053,[1.],[[-0.07191057 2.10243902]],"[[[0.76116117 -0.4193238],[-0.4193238 0.56791944]]]"
