Pitcher,Loc+ FA
Miles Mikolas,111
Chris Bassitt,111
Logan Webb,111
Aaron Nola,111
Kevin Gausman,109
Joe Musgrove,107
Pablo Lopez,106
Jose Quintana,106
Sandy Alcantara,106
Yu Darvish,105
Shane Bieber,105
Jameson Taillon,105
Jordan Montgomery,105
Carlos Rodon,105
Jose Urquidy,104
Justin Verlander,104
Cole Irvin,104
Merrill Kelly,104
Tyler Anderson,104
Julio Urias,103
Robbie Ray,103
Gerrit Cole,103
Jose Berrios,102
Corey Kluber,102
Logan Gilbert,102
Triston McKenzie,102
Charlie Morton,101
Marco Gonzalez,101
Zac Gallen,101
Shane McClanahan,101
Jordan Lyles,101
Germa Marquez,101
Alek Manoah,101
Kyle Freeland,100
Kyle Gibson,99
Nick Pivetta,98
Max Fried,97
Adam Wainright,97
Shohei Ohtani,95
Dylan Cease,95
Kyle Wright,92
Cal Quantrill,88
Martin Perez,87
Framber Valdez,82
Corbin Burnes,76
