,Pitcher,Control,Pis,Mus,Covariances
0,"Schmidt, Clarke",8.264614653,"[0.5237491,0.21792457,0.25832632]","[[-0.72459262,2.26644193],[0.08094952,1.99059751],[0.85444274,1.75785252]]","[[[0.27801962,-0.13795301],[-0.13795301,0.29137875]],[[0.01216266,0.03025113],[0.03025113,0.35176278]],[[0.08999615,0.02179557],[0.02179557,0.20296054]]]"
1,"McHugh, Collin",11.2383198,[1],"[[-0.21098655,1.78125561]]","[[[0.41234263,-0.13184899],[-0.13184899,0.37193754]]]"
2,"Ohtani, Shohei",11.80009351,[1],"[[-0.06702602,2.09449814]]","[[[0.49940628,-0.28372936],[-0.28372936,0.45230902]]]"
