,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
155,"Paxton, James",5.617432944,9.909230114,6.551050313,[0.18608266 0.19528501 0.35792518 0.26070715],"[[0.23399687 2.17555866],[0.43324708 3.70336029],[-0.05766512 3.08843791],[-0.64977549 2.28619456]]","[[[0.08514579 -0.02332447],[-0.02332447 0.22408217]]:[[0.19425277 -0.01869971],[-0.01869971 0.14821384]]:[[0.2280246 -0.06927173],[-0.06927173 0.16867141]]:[[0.15256207 -0.03403607],[-0.03403607 0.23226084]]]"
88,"Luzardo, Jesús",5.536427138,9.319239885,6.592604194,[0.414938   0.33044572 0.25461628],"[[-0.01623508 3.4811023],[-0.12071909 2.48553762],[-0.91105123 2.62298566]]","[[[0.19811907 0.00244507],[0.00244507 0.18384084]]:[[0.18455506 -0.02525658],[-0.02525658 0.20248925]]:[[0.09122205 0.01713397],[0.01713397 0.26835904]]]"
26,"Jiménez, Joe",5.326605382,9.171256639,6.627977727,[0.6546178  0.11295379 0.16959718 0.06283123],"[[-0.05310681 2.73676371],[-0.27619326 3.65111459],[0.58320783 1.86098539],[0.82361662 2.7075767]]","[[[0.247317 0.04802401],[0.04802401 0.23396822]]:[[0.19734497 -0.02436863],[-0.02436863 0.05132424]]:[[0.11135225 0.00407714],[0.00407714 0.06640448]]:[[0.0218822 -0.00816314],[-0.00816314 0.00420721]]]"
108,"Pfaadt, Brandon",4.872782557,9.326406565,6.657564153,[0.2567398  0.41650548 0.32675472],"[[0.60459216 2.90950617],[-0.18308985 3.25427182],[0.39215817 2.1828715]]","[[[0.08075674 0.06948442],[0.06948442 0.19074583]]:[[0.12852711 -0.03498845],[-0.03498845 0.29001063]]:[[0.26000398 -0.01188571],[-0.01188571 0.16999473]]]"
37,"Curry, Xzavion",5.716516054,10.07129543,6.661847848,[0.33035364 0.10314627 0.47440319 0.0920969 ],"[[0.29037123 3.68601698],[-0.57585021 2.52747673],[0.37863673 2.45459774],[-0.14595419 1.58604173]]","[[[0.25054932 -0.06183716],[-0.06183716 0.2617875]]:[[0.03030606 -0.03869437],[-0.03869437 0.20791852]]:[[0.17113826 -0.04793187],[-0.04793187 0.21197851]]:[[0.12713314 -0.01955071],[-0.01955071 0.0296565]]]"
166,"Boyd, Matthew",5.309796416,8.845815859,6.663519059,[0.347408  0.5568002 0.0957918],"[[0.55913107 3.19053089],[-0.3644807 2.96635118],[0.38181879 4.06875983]]","[[[0.12752624 0.00617057],[0.00617057 0.17284767]]:[[0.1669293 0.02828332],[0.02828332 0.24694264]]:[[0.23236468 -0.03028241],[-0.03028241 0.02543252]]]"
28,"Greene, Hunter",5.844966421,9.973782415,6.665841228,[0.23189737 0.17840987 0.41102245 0.1786703 ],"[[-0.05869542 3.56114016],[-0.89742448 3.66615633],[0.31852466 2.48215866],[-0.02357576 2.78287397]]","[[[0.14280865 0.07692055],[0.07692055 0.13012012]]:[[0.07088092 0.01773488],[0.01773488 0.21701395]]:[[0.23949413 0.01197672],[0.01197672 0.21064976]]:[[0.43973715 0.29090481],[0.29090481 0.22881195]]]"
114,"Cole, Gerrit",6.239722029,10.71369393,6.702117245,[0.1686237  0.0974996  0.07509202 0.26028915 0.39849554],"[[-0.04175869 2.19728974],[-0.20024755 4.10105494],[-0.92241409 2.73376751],[0.8827147 2.30669583],[-0.12198741 3.10689381]]","[[[0.22772262 0.042181],[0.042181 0.16405077]]:[[0.32608765 -0.03479592],[-0.03479592 0.03933872]]:[[0.08387756 -0.03502023],[-0.03502023 0.06203208]]:[[0.1134591 0.00671429],[0.00671429 0.29212329]]:[[0.20245118 -0.06430242],[-0.06430242 0.16996494]]]"
64,"Heaney, Andrew",5.998345435,7.791650123,6.715665765,[0.11201909 0.15373345 0.31204352 0.28678234 0.1354216 ],"[[9.56035807e-01 2.96133984e+00],[-9.64852457e-02 2.20297207e+00],[1.07006468e-05 3.41284668e+00],[-5.54978734e-01 2.79436588e+00],[3.89978484e-01 3.96102753e+00]]","[[[0.06877833 0.06202953],[0.06202953 0.48112062]]:[[0.42171011 0.10885194],[ 0.10885194 0.08027988]]:[[0.22508335 -0.10870201],[-0.10870201 0.17117976]]:[[0.24215708 -0.06892264],[-0.06892264 0.1266719]]:[[0.14103859 0.00482103],[0.00482103 0.08849347]]]"
141,"Pérez, Eury",5.629684956,9.518830948,6.753600741,[0.22261867 0.2964628  0.48091853],"[[0.47289238 2.07435924],[-0.2642909 2.40708449],[-0.48759544 3.07868757]]","[[[0.11504324 0.08190336],[0.08190336 0.21335344]]:[[0.24716751 0.19565792],[0.19565792 0.23108087]]:[[0.25095236 -0.01625202],[-0.01625202 0.23762028]]]"
119,"Vesia, Alex",6.161669926,8.025335337,6.826326005,[0.34549202 0.33518455 0.31932343],"[[0.41472475 2.41838371],[0.49546344 3.32468632],[-0.44854453 3.29551212]]","[[[0.20246959 0.06042444],[0.06042444 0.12305665]]:[[0.16028602 0.16100286],[0.16100286 0.258255]]:[[0.15162584 0.05284338],[0.05284338 0.41830635]]]"
40,"Moore, Matt",5.785623351,9.719164788,6.828120863,[0.21879947 0.59510597 0.18609456],"[[-0.03140288 3.71691058],[-0.65201182 2.5663861],[0.67242695 2.83362117]]","[[[0.20083581 0.02067176],[0.02067176 0.07768189]]:[[0.18788102 0.04870336],[0.04870336 0.22053658]]:[[0.08759743 0.116857],[0.116857 0.29715497]]]"
107,"Sewald, Paul",5.014684111,8.763500034,6.8337932,[0.73011625 0.26988375],"[[0.25481373 2.66766661],[-0.70958511 3.21901234]]","[[[0.25579496 0.00638625],[0.00638625 0.16190459]]:[[0.17601973 0.03944522],[0.03944522 0.10020528]]]"
