,Pitcher,Control,Pis,Mus,Covariances
6,"Nola, Aaron",7.25726852,"[0.4420418,0.41689288,0.14106532]","[[-0.43655932,2.17622247],[0.13307232,1.29566858],[0.84305656,0.57493537]]","[[[0.22977857,-0.06417943],[-0.06417943,0.21019971]],[[0.2817815,0.02541989],[0.02541989,0.15873658]],[[0.10493203,0.04321268],[0.04321268,0.09209202]]]"
5,"Gallen, Zac",9.131869582,"[0.78604889,0.21395111]","[[0.05978963,1.50274794],[0.62602197,0.25021014]]","[[[0.27537983,-0.11513117],[-0.11513117,0.41350037]],[[0.21236808,0.01531624],[0.01531624,0.11773399]]]"
3,"Schmidt, Clarke",9.882646352,"[0.29729195,0.33872999,0.36397806]","[[0.57646701,1.04225123],[-0.50889031,2.35446925],[0.69073964,2.08950623]]","[[[0.27931019,-0.04773076],[-0.04773076,0.34060111]],[[0.20902898,-0.1430935],[-0.1430935,0.27948217]],[[0.37193153,-0.28822749],[-0.28822749,0.52320354]]]"
1,"Brown, Hunter",9.956328642,"[0.46592975,0.21508812,0.31898212]","[[-0.04593703,1.00509037],[-0.65266538,2.65999259],[0.54701338,1.9356683]]","[[[0.25776967,-0.13575097],[-0.13575097,0.60318635]],[[0.11158216,0.02841875],[0.02841875,0.40251493]],[[0.19690144,-0.17853115],[-0.17853115,0.59944332]]]"
2,"Flaherty, Jack",10.30569616,"[0.75883856,0.24116144]","[[-0.41565259,1.76181232],[0.63385835,1.21411104]]","[[[0.31260912,-0.07550367],[-0.07550367,0.44680842]],[[0.10603365,0.04198049],[0.04198049,0.55801094]]]"
0,"Smyly, Drew",10.39293155,"[0.40690392,0.59309608]","[[-0.40353225,1.22030114],[0.39756135,1.95188961]]","[[[0.11104152,0.0957965],[0.0957965,0.79660854]],[[0.09489098,0.06574653],[0.06574653,0.6364206]]]"
4,"Cease, Dylan",14.27360207,[1],"[[-0.03706107,1.7189313]]","[[[0.33366603,-0.27550984],[-0.27550984,1.19641894]]]"
