,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
113,"Hendricks, Kyle",6.154331027506851,7.953478193479611,7.315680685968455,[0.22586172 0.48547654 0.28866174],"[[-0.83724214  2.67195886]
 [ 0.1671442   3.67980199]
 [-0.25813779  2.10989828]]","[[[ 0.11050111 -0.04922171]
  [-0.04922171  0.13487147]]

 [[ 0.25501006  0.00256142]
  [ 0.00256142  0.30542953]]

 [[ 0.27190252  0.08907197]
  [ 0.08907197  0.24946318]]]"
72,"Cimber, Adam",5.781466553394747,9.325652211903643,7.330212416806984,[0.49432612 0.50567388],"[[-0.72801103  2.81145023]
 [ 0.28450444  2.95947506]]","[[[ 0.2448184  -0.05436418]
  [-0.05436418  0.2306303 ]]

 [[ 0.21609859  0.01479828]
  [ 0.01479828  0.20205553]]]"
19,"Green, Chad",6.079475438773751,10.432270550793616,7.3830609996127246,[0.37246539 0.17137042 0.14946368 0.15013495 0.15656555],"[[ 0.42966705  2.872123  ]
 [-0.59820544  2.79509585]
 [-0.82925626  3.90390815]
 [ 0.41965472  3.39811068]
 [-0.18269544  2.30404482]]","[[[ 0.23732825 -0.03935411]
  [-0.03935411  0.4733844 ]]

 [[ 0.12047786  0.09324417]
  [ 0.09324417  0.14046693]]

 [[ 0.13622696  0.02067006]
  [ 0.02067006  0.13123719]]

 [[ 0.05711306 -0.12062202]
  [-0.12062202  0.32900585]]

 [[ 0.21508836  0.1901734 ]
  [ 0.1901734   0.21397599]]]"
9,"Kopech, Michael",5.773791009955071,9.71272337910521,7.388009828801636,[0.16732788 0.43114719 0.40152493],"[[-0.93210239  2.5738412 ]
 [ 0.01113629  2.26973324]
 [-0.11415985  3.34933932]]","[[[ 0.0681167   0.02565147]
  [ 0.02565147  0.27698245]]

 [[ 0.25380003 -0.06818328]
  [-0.06818328  0.19415608]]

 [[ 0.23709756 -0.05554589]
  [-0.05554589  0.19489701]]]"
92,"Espino, Paolo",5.754829780892708,9.307669474649543,7.393972825179255,[0.42954634 0.57045366],"[[-0.25247705  2.94588152]
 [-0.41319551  1.92627928]]","[[[ 0.32762391 -0.05019027]
  [-0.05019027  0.20369182]]

 [[ 0.20754255 -0.03615235]
  [-0.03615235  0.1764481 ]]]"
108,"Scherzer, Max",5.883903615368381,10.530327508112025,7.3963445165223405,[0.03892693 0.3794761  0.40385198 0.12166301 0.05608197],"[[ 1.28471731  3.13941466]
 [ 0.24870776  2.99226631]
 [-0.69058459  2.67215303]
 [ 0.3733136   1.87572842]
 [-0.08096851  4.07355239]]","[[[ 0.01454006  0.05896194]
  [ 0.05896194  0.34045638]]

 [[ 0.24172986 -0.07146445]
  [-0.07146445  0.23216962]]

 [[ 0.21350221 -0.0822871 ]
  [-0.0822871   0.28149363]]

 [[ 0.29856296  0.07149821]
  [ 0.07149821  0.06524895]]

 [[ 0.28116954 -0.00686785]
  [-0.00686785  0.00906407]]]"
104,"Mize, Casey",5.743106610048513,10.483106233236498,7.408966957232934,[0.36226468 0.16959654 0.46813878],"[[-0.39648875  3.02168004]
 [ 0.68690456  2.13879659]
 [ 0.50565663  3.38999884]]","[[[ 0.12247462 -0.05668757]
  [-0.05668757  0.27999097]]

 [[ 0.16749581  0.04227841]
  [ 0.04227841  0.07033893]]

 [[ 0.23721884 -0.12009054]
  [-0.12009054  0.32921662]]]"
67,"Gray, Jon",6.227229988940094,10.367640721024786,7.411092301046953,[0.328734   0.24780096 0.26344867 0.16001637],"[[-0.67019909  2.6005436 ]
 [-0.12611857  2.26599147]
 [ 0.81429843  2.52682565]
 [ 0.17558401  3.00694208]]","[[[ 0.14409601 -0.01136602]
  [-0.01136602  0.47202051]]

 [[ 0.06288322 -0.08515291]
  [-0.08515291  0.34877978]]

 [[ 0.10140784  0.04734055]
  [ 0.04734055  0.37105819]]

 [[ 0.03360143  0.01640808]
  [ 0.01640808  0.30340424]]]"
26,"Ryu, Hyun Jin",5.641931213027469,8.737194361074254,7.415908826014231,[0.47528906 0.52471094],"[[-0.57150759  2.01182801]
 [-0.54530465  2.85486937]]","[[[0.29981533 0.02981684]
  [0.02981684 0.20843522]]

 [[0.22225361 0.03301006]
  [0.03301006 0.2344389 ]]]"
106,"Gilbert, Logan",5.939672651120416,9.450736847853335,7.419124808937106,[0.39032311 0.26824702 0.34142986],"[[-0.01726429  2.19627373]
 [-0.98283466  2.6930056 ]
 [-0.04851308  2.92370204]]","[[[ 0.15975438 -0.02617126]
  [-0.02617126  0.17601149]]

 [[ 0.11268859 -0.01728357]
  [-0.01728357  0.32941818]]

 [[ 0.31159838 -0.00906455]
  [-0.00906455  0.28787899]]]"
