,Pitcher,Control,Pis,Mus,Covariances
50,"Castillo, Luis",7.960857064,"[0.33414259,0.30345099,0.36240642]","[[-0.68323949,3.50054236],[-0.36465447,2.56335953],[0.23231791,3.11217783]]","[[[0.23558649,-0.0259245],[-0.0259245,0.17645126]],[[0.31516057,-0.08689359],[-0.08689359,0.18631055]],[[0.16730235,0.00788716],[0.00788716,0.18327303]]]"
24,"Greene, Hunter",8.003524465,"[0.36138194,0.19991631,0.31884533,0.11985642]","[[-0.12570353,3.51914729],[0.3624888,1.96867124],[-0.32130486,2.71629179],[1.06484357,3.02169826]]","[[[0.31409906,-0.03246247],[-0.03246247,0.15196855]],[[0.44401457,0.1236296],[0.1236296,0.09489601]],[[0.40514662,0.03833384],[0.03833384,0.0967811]],[[0.10964822,0.04023197],[0.04023197,0.31098287]]]"
17,"Javier, Cristian",8.010039295,"[0.38725462,0.16662582,0.44611955]","[[-0.50785793,3.73986832],[0.34290297,3.6109926],[0.08473297,2.58233793]]","[[[0.15957593,0.04936756],[0.04936756,0.32879763]],[[0.11525597,0.10023161],[0.10023161,0.21589115]],[[0.26616069,0.01188836],[0.01188836,0.19978367]]]"
39,"Clevinger, Mike",8.019336335,"[0.08761134,0.14005394,0.36743202,0.34787062,0.05703208]","[[0.48857981,3.5528383],[-0.52614506,1.72883359],[0.13035762,2.93901557],[-0.48278387,2.46600488],[-1.14280364,3.61486543]]","[[[0.08325756,-0.07210016],[-0.07210016,0.0945556]],[[0.15251823,-0.03827128],[-0.03827128,0.03886324]],[[0.25524528,-0.21615103],[-0.21615103,0.34679987]],[[0.2693018,-0.10465658],[-0.10465658,0.13865067]],[[0.06004425,-0.03232974],[-0.03232974,0.04041427]]]"
77,"Glasnow, Tyler",8.123600957,"[0.28026608,0.63684206,0.08289185]","[[0.05975484,1.70758163],[-0.16900605,2.79487674],[-0.24946728,4.03872127]]","[[[0.24948242,0.0310902],[0.0310902,0.16002239]],[[0.18428812,-0.01134617],[-0.01134617,0.2642793]],[[0.35212087,-0.02049625],[-0.02049625,0.04526319]]]"
79,"Bieber, Shane",8.142543719,"[0.1923761,0.8076239]","[[0.45081953,2.05515178],[-0.62824442,2.34795925]]","[[[0.05056519,0.00369494],[0.00369494,0.29384974]],[[0.12803984,-0.0407031],[-0.0407031,0.32302827]]]"
74,"Manaea, Sean",8.154751804,"[0.17659334,0.35184875,0.47155791]","[[-0.42832322,2.09012555],[0.49061524,3.17530682],[-0.49522208,3.00672624]]","[[[0.39915109,-0.0153369],[-0.0153369,0.08672709]],[[0.14721994,0.07859341],[0.07859341,0.22189097]],[[0.18053434,0.07294285],[0.07294285,0.34469425]]]"
121,"Alcantara, Sandy",8.219308323,"[0.17833615,0.71554191,0.10612194]","[[-0.46250705,3.70370677],[0.17779583,2.84991901],[-1.02996115,3.68646657]]","[[[0.08237158,0.05066836],[0.05066836,0.08358168]],[[0.21663947,0.01314932],[0.01314932,0.29612638]],[[0.02852599,0.07493959],[0.07493959,0.27066407]]]"
45,"Verlander, Justin",8.257291838,"[0.21188833,0.54172703,0.24638464]","[[-0.18733782,3.9732155],[-0.31226863,2.92743798],[0.57017817,2.62084162]]","[[[0.37577083,0.00324113],[0.00324113,0.08037211]],[[0.22612171,0.10902483],[0.10902483,0.26365398]],[[0.15194678,0.05953374],[0.05953374,0.1969309]]]"
82,"Rodriguez, Grayson",8.373832662,"[0.30977636,0.38361092,0.30661272]","[[-0.92643483,3.14079288],[-0.08996059,3.31847237],[-0.15303059,2.32080801]]","[[[0.09456561,-0.02982226],[-0.02982226,0.56270564]],[[0.16232896,-0.03508878],[-0.03508878,0.20191978]],[[0.22389,-0.11503808],[-0.11503808,0.1543112]]]"
56,"Lyles, Jordan",8.376870263,"[0.09550233,0.55312763,0.35137004]","[[-0.20333038,4.07727415],[0.31308298,2.84320063],[-0.56202226,2.74948271]]","[[[0.09654446,-0.0385688],[-0.0385688,0.08572056]],[[0.16719008,0.04484648],[0.04484648,0.32280173]],[[0.15120834,0.03147757],[0.03147757,0.40040645]]]"
43,"Lively, Ben",8.381377569,"[0.33941534,0.18437789,0.47620677]","[[-0.60435021,2.75914971],[0.31041419,2.12572324],[0.4522274,3.21173618]]","[[[0.12889186,-0.05921625],[-0.05921625,0.34109407]],[[0.17402439,-0.04383445],[-0.04383445,0.09614943]],[[0.2327518,-0.1362425],[-0.1362425,0.31485494]]]"
15,"Nelson, Ryne",8.428411709,"[0.06731723,0.4241559,0.44086518,0.06766169]","[[0.56875091,1.57952031],[0.27816995,2.59308358],[-0.5285806,2.7746035],[-0.05030883,3.69058927]]","[[[0.13900962,0.0548342],[0.0548342,0.05022596]],[[0.22181074,0.04619421],[0.04619421,0.22963214]],[[0.15929508,0.00629372],[0.00629372,0.36083576]],[[0.22556947,0.06842394],[0.06842394,0.03283666]]]"
80,"Sewald, Paul",8.473112628,"[0.71315888,0.28684112]","[[-0.38605936,3.1027201],[0.41179692,2.54079138]]","[[[0.35780305,-0.02756001],[-0.02756001,0.1895262]],[[0.20978973,0.04816302],[0.04816302,0.11986987]]]"
98,"Elder, Bryce",8.527120541,"[0.28315846,0.57706771,0.13977383]","[[-0.05994289,3.66519972],[0.07726861,2.58345509],[0.95449239,3.11634557]]","[[[0.17914202,-0.0630078],[-0.0630078,0.13151637]],[[0.23713229,-0.00616849],[-0.00616849,0.25979479]],[[0.03414744,-0.04623143],[-0.04623143,0.32405622]]]"
106,"Irvin, Jake",8.542321263,"[0.45349593,0.37358392,0.17292015]","[[0.24969437,3.34153932],[0.52414057,2.29159022],[-0.80447679,3.0426893]]","[[[0.32096097,-0.1127877],[-0.1127877,0.26613898]],[[0.25262931,-0.04498491],[-0.04498491,0.23683507]],[[0.07786458,-0.03442115],[-0.03442115,0.48220503]]]"
46,"Kelly, Merrill",8.557159475,"[0.34165894,0.40051885,0.25782221]","[[-0.36448826,1.88145331],[-0.8142409,2.79971343],[0.46662202,2.73886989]]","[[[0.28844293,-0.0984961],[-0.0984961,0.15182656]],[[0.22411513,0.00179637],[0.00179637,0.31725401]],[[0.23906632,-0.07486713],[-0.07486713,0.27964143]]]"
1,"Wells, Tyler",8.557523452,"[0.12386059,0.28426156,0.59187784]","[[0.73696063,3.36412624],[-0.11271133,4.39914025],[-0.24223126,2.93315882]]","[[[0.0220398,-0.0413571],[-0.0413571,0.44856736]],[[0.1674063,-0.00762567],[-0.00762567,0.14435643]],[[0.19200334,-0.06902531],[-0.06902531,0.33123239]]]"
