,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
72,"Gausman, Kevin",5.020611364,8.479387065,6.069341866,"[0.36354707,0.18497441,0.0609477,0.39053082]","[[-0.62575625,2.61431189],[-0.43668712,3.23851759],[0.62453081,3.0502909],[0.1407089,2.16793855]]","[[[0.1559832,0.01693042],[0.01693042,0.18732727]],[[0.20382803,-0.07686282],[-0.07686282,0.0524729]],[[0.0756941,-0.06666575],[-0.06666575,0.0839403]],[[0.13636417,-0.03686214],[-0.03686214,0.17499704]]]"
96,"Alcantara, Sandy",5.529383076,10.03588197,6.41153673,"[0.16981437,0.21807445,0.14653337,0.46557781]","[[0.66528369,2.1509636],[0.3218334,2.69061638],[-0.70895017,3.74499145],[0.13225879,3.3891267]]","[[[0.16129017,0.02011986],[0.02011986,0.08389667]],[[0.35806101,0.07191772],[0.07191772,0.03840631]],[[0.09319816,0.07559086],[0.07559086,0.13889309]],[[0.25866679,0.04077127],[0.04077127,0.16067135]]]"
55,"Nola, Aaron",5.609393983,9.688712517,6.519462085,"[0.36877342,0.3649454,0.19946901,0.06681218]","[[-0.41851463,2.24494632],[-0.07179104,3.29678667],[-1.09494578,3.04569066],[0.93978743,2.83963792]]","[[[0.24342536,-0.01676249],[-0.01676249,0.12281804]],[[0.23483273,-0.07651575],[-0.07651575,0.19437597]],[[0.06083586,-0.04733586],[-0.04733586,0.23792105]],[[0.00478638,-0.00703622],[-0.00703622,0.26920471]]]"
79,"Javier, Cristian",5.568550378,9.913323956,6.639459528,"[0.28294237,0.39063908,0.1223347,0.20408386]","[[-7.92923001e-01,3.09882462e+00],[1.83702687e-01,3.19894068e+00],[-2.58244740e-01,4.07590160e+00],[-2.58345451e-03,2.32954716e+00]]","[[[0.10149725,-0.0541696],[-0.0541696,0.45106435]],[[0.17693045,-0.05353527],[-0.05353527,0.17307877]],[[0.25014659,0.0188057],[0.0188057,0.06482051]],[[0.1301431,-0.08358279],[-0.08358279,0.1725151]]]"
30,"Pallante, Andre",5.474237081,9.825184113,6.898140585,"[0.08420471,0.12934311,0.61157235,0.03526107,0.13961875]","[[0.06825562,3.80655643],[0.02329704,1.48251323],[0.1897065,2.61441872],[-0.83318855,3.52898856],[-0.23612268,1.98018821]]","[[[0.25935461,0.00564781],[0.00564781,0.03215884]],[[0.26519549,-0.09288744],[-0.09288744,0.08043072]],[[0.26686906,-0.04277742],[-0.04277742,0.20866121]],[[0.0347762,0.06826063],[0.06826063,0.14005711]],[[0.17365581,-0.05635759],[-0.05635759,0.02627725]]]"
36,"Taillon, Jameson",6.015544455,9.131218324,6.899313209,"[0.1039957,0.18317655,0.50002158,0.21280617]","[[-0.71152075,3.97289861],[-0.23367726,1.95983084],[0.22372881,3.19565764],[-0.97793327,2.78219065]]","[[[0.19825272,0.02921639],[0.02921639,0.07683692]],[[0.46724359,-0.02551292],[-0.02551292,0.08626971]],[[0.17542699,0.04727103],[0.04727103,0.31237706]],[[0.13506384,0.03067499],[0.03067499,0.07562397]]]"
97,"Gilbert, Logan",5.823635115,9.294947263,6.917502318,"[0.51331036,0.16237308,0.09724094,0.22707562]","[[-0.06931628,3.0587784],[-0.27105193,2.28537915],[0.10338373,1.70712799],[-0.95987528,3.00527362]]","[[[0.19218503,-0.05811882],[-0.05811882,0.28064288]],[[0.31532462,0.1703428],[0.1703428,0.15892659]],[[0.21407794,0.0257842],[0.0257842,0.03937318]],[[0.10109481,-0.0403921],[-0.0403921,0.31311585]]]"
58,"Mikolas, Miles",5.250466571,9.608538634,6.950643657,"[0.26331694,0.53405423,0.20262883]","[[-0.41748162,2.58095405],[0.30065649,3.14610127],[0.22615674,1.94932588]]","[[[0.13014279,-0.0572898],[-0.0572898,0.20752358]],[[0.20863773,-0.11545717],[-0.11545717,0.30337804]],[[0.18954331,0.02958425],[0.02958425,0.05918834]]]"
38,"Cole, Gerrit",6.166030454,10.57168808,6.958540575,"[0.08049246,0.12390628,0.43980827,0.25490422,0.10088876]","[[0.04931829,3.60220242],[-0.15930011,2.77271625],[-0.90995199,2.76289053],[-0.07213098,1.81163381],[0.36848319,3.10089563]]","[[[0.50765033,-0.1979565],[-0.1979565,0.0981234]],[[0.0280658,0.00298061],[0.00298061,0.09565652]],[[0.16419411,0.01633508],[0.01633508,0.26461112]],[[0.23960474,0.03698103],[0.03698103,0.16384372]],[[0.06772701,-0.076017],[-0.076017,0.46442605]]]"
54,"Urquidy, José",5.821065389,9.57686448,7.024125167,"[0.25592549,0.26444703,0.47962747]","[[0.55707857,3.29363538],[-0.58113954,3.19096227],[0.11534482,2.46457262]]","[[[0.11390972,-0.10568302],[-0.10568302,0.32922365]],[[0.12476657,0.06460247],[0.06460247,0.32076277]],[[0.14625744,-0.05383223],[-0.05383223,0.21452682]]]"
