,Pitcher,Control,Pis,Mus,Covariances
14,"Corbin, Patrick",8.401073127261263,[0.58902978 0.41097022],"[[-1.02017795  1.38205672]
 [-0.20509129  1.96878724]]","[[[ 0.13073386  0.04916639]
  [ 0.04916639  0.34623858]]

 [[ 0.09386293 -0.02502685]
  [-0.02502685  0.30174417]]]"
19,"Mahle, Tyler",8.5677125334627,[0.53202545 0.46797455],"[[-0.93183224  2.36803004]
 [-0.15611179  1.4603508 ]]","[[[ 0.17393658 -0.02925102]
  [-0.02925102  0.32683972]]

 [[ 0.18097914 -0.08767092]
  [-0.08767092  0.24634325]]]"
16,"Singer, Brady",8.672993602572845,[0.41777442 0.13351689 0.11989823 0.32881046],"[[ 0.21912398  1.25546405]
 [-0.60793525  2.64597849]
 [ 1.13589989  1.68193727]
 [ 0.28791056  2.34880857]]","[[[ 0.4180905  -0.15068186]
  [-0.15068186  0.23940094]]

 [[ 0.13976241 -0.0213393 ]
  [-0.0213393   0.08520595]]

 [[ 0.07592064 -0.02647499]
  [-0.02647499  0.03374779]]

 [[ 0.40515504  0.03423969]
  [ 0.03423969  0.24554261]]]"
15,"Darvish, Yu",9.031515345446405,[0.46813889 0.53186111],"[[0.16156002 2.69532134]
 [0.12419943 1.64926486]]","[[[ 0.36783021 -0.18537826]
  [-0.18537826  0.23333192]]

 [[ 0.27345433 -0.07565961]
  [-0.07565961  0.28954415]]]"
7,"Ynoa, Huascar",9.104129339558895,[0.40239698 0.555731   0.04187202],"[[0.65988519 1.15154855]
 [0.06489748 2.30127561]
 [0.45113367 0.50220643]]","[[[ 0.18458238 -0.03360276]
  [-0.03360276  0.22772598]]

 [[ 0.34037727 -0.06592638]
  [-0.06592638  0.2744079 ]]

 [[ 0.69018359  0.05559962]
  [ 0.05559962  0.00557246]]]"
5,"Wisler, Matt",9.173695700949779,[0.12662426 0.34429903 0.52907671],"[[-0.6591494   3.50350951]
 [ 0.11814186  1.55056893]
 [-0.01427287  2.4644962 ]]","[[[ 0.2736392  -0.01559395]
  [-0.01559395  0.04007166]]

 [[ 0.35749825 -0.01191119]
  [-0.01191119  0.17383356]]

 [[ 0.27740164 -0.06003602]
  [-0.06003602  0.20616322]]]"
1,"Cease, Dylan",9.252206145595263,[0.05998774 0.10095126 0.47407858 0.36498242],"[[ 1.41699275  1.56978599]
 [-0.37714246  2.79571842]
 [ 0.74806175  2.38770216]
 [ 0.57947706  1.32367912]]","[[[ 0.07854723  0.1980683 ]
  [ 0.1980683   0.50171123]]

 [[ 0.00525316 -0.00345947]
  [-0.00345947  0.19890877]]

 [[ 0.22635142 -0.11528428]
  [-0.11528428  0.25024619]]

 [[ 0.22954549 -0.13004532]
  [-0.13004532  0.28203297]]]"
9,"Alcantara, Sandy",9.331704605328145,[0.315734 0.684266],"[[-0.7601461   2.51918711]
 [ 0.42645029  1.66646525]]","[[[ 0.18828649  0.02558958]
  [ 0.02558958  0.45874549]]

 [[ 0.35405487 -0.13168101]
  [-0.13168101  0.40067902]]]"
11,"Alzolay, Adbert",9.575413861318411,[0.32526099 0.50108709 0.06863737 0.10501455],"[[-0.39674483  1.95507486]
 [ 0.29581974  2.23956154]
 [ 0.25239098  3.28696395]
 [ 1.14806065  0.88725209]]","[[[ 0.2876464  -0.18865475]
  [-0.18865475  0.46723677]]

 [[ 0.27198871 -0.06499513]
  [-0.06499513  0.15451361]]

 [[ 0.48225755 -0.12300855]
  [-0.12300855  0.0524789 ]]

 [[ 0.08213609  0.05985349]
  [ 0.05985349  0.0828015 ]]]"
3,"Smith, Caleb",9.593005411378634,[0.24965064 0.75034936],"[[-0.05954388  2.91768412]
 [-0.6736651   1.61430487]]","[[[ 0.21719043 -0.03440703]
  [-0.03440703  0.09474094]]

 [[ 0.25751302  0.10023035]
  [ 0.10023035  0.36508906]]]"
