,Pitcher,NinetyFive,Five,"Median,Control",Pis,Mus,Covariances
66,"Kim, Kwang, Hyun",6.617723703,11.5560085,7.772394846,"[0.18802571,0.1101096,0.1212714,0.58059329]","[[0.50503562,3.45762043],[-0.49731732,1.36097133],[-1.0382153,2.64169025],[0.30161986,2.3196016]]","[[[0.457254,0.00924301],[0.00924301,0.05842881]],[[0.26717327,-0.05466326],[-0.05466326,0.08825981]],[[0.09136719,0.02693966],[0.02693966,0.44701443]],[[0.3082179,-0.00149979],[-0.00149979,0.20735014]]]"
128,"Anderson, Ian",5.956857391,10.4812594,7.78624049,"[0.32039701,0.13723655,0.54236643]","[[0.79123785,2.09796253],[-0.12309531,3.88509118],[0.10738669,2.75168678]]","[[[0.22730925,0.09904877],[0.09904877,0.28574718]],[[0.31993439,0.03967105],[0.03967105,0.09934829]],[[0.31996157,0.08358072],[0.08358072,0.22512533]]]"
171,"Weaver, Luke",5.751918382,9.947464149,7.805042886,"[0.74691797,0.10735068,0.14573135]","[[0.36039908,2.87830917],[-0.85980934,2.69918393],[0.5206118,1.75971117]]","[[[0.32567581,-0.03993089],[-0.03993089,0.25055283]],[[0.04366002,0.00558813],[0.00558813,0.35495135]],[[0.32307212,0.00418306],[0.00418306,0.06729937]]]"
93,"Petit, Yusmeiro",6.01544862,11.05032042,7.814272195,"[0.49756941,0.23919832,0.09790358,0.1653287]","[[0.97607058,2.55413097],[0.00635593,2.16732988],[-0.89669006,2.92388282],[0.24876724,3.19435792]]","[[[0.1997458,-0.09080399],[-0.09080399,0.39345813]],[[0.24702269,-0.2553081],[-0.2553081,0.37302285]],[[0.02953699,0.00980494],[0.00980494,0.46241454]],[[0.02916169,-0.06363666],[-0.06363666,0.23809646]]]"
23,"Strickland, Hunter",6.462018962,10.65053992,7.822196757,"[0.28183607,0.53830044,0.17986349]","[[-0.07526251,3.2958978],[0.25915667,2.41961789],[1.33036058,2.16836491]]","[[[0.18359208,-0.11981249],[-0.11981249,0.19276597]],[[0.29827254,-0.12747042],[-0.12747042,0.30134238]],[[0.15725618,0.06089199],[0.06089199,0.4653818]]]"
11,"Cease, Dylan",6.212677207,10.69772536,7.833706279,"[0.16970046,0.38161904,0.36867881,0.08000169]","[[0.12829931,3.83558124],[-0.16289691,2.64792799],[0.6445883,2.48336499],[0.59850235,1.54904999]]","[[[0.340009,-0.01857564],[-0.01857564,0.17660689]],[[0.20346649,0.01229495],[0.01229495,0.33239255]],[[0.1475907,-0.06604082],[-0.06604082,0.43739373]],[[0.34625787,0.12258364],[0.12258364,0.06295375]]]"
76,"Lyles, Jordan",6.633018344,10.78998479,7.844439987,"[0.33012428,0.1364085,0.2286336,0.05963342,0.2452002]","[[-0.4022791,2.84587069],[0.39467922,2.17199464],[0.96721515,2.87703662],[-1.09455451,3.3197427],[0.37439174,2.81232428]]","[[[0.14955201,0.07280335],[0.07280335,0.60551701]],[[0.30866904,-0.10889105],[-0.10889105,0.08169702]],[[0.05869088,-0.05833558],[-0.05833558,0.46572079]],[[0.02960845,0.00201354],[0.00201354,0.32850222]],[[0.03605383,-0.0247954],[-0.0247954,0.46939423]]]"
40,"Richards, Garrett",6.483595038,10.45915553,7.845173822,"[0.18560414,0.45981985,0.35457602]","[[-0.89941901,3.22114027],[-0.02274721,3.18935179],[0.24070299,2.08911983]]","[[[0.05527976,0.01245358],[0.01245358,0.60712216]],[[0.24479384,0.02641241],[0.02641241,0.28726022]],[[0.19900687,-0.05019945],[-0.05019945,0.29556382]]]"
146,"Rasmussen, Drew",5.41074414,9.719917018,7.845646335,"[0.41948653,0.58051347]","[[0.52358408,3.33386836],[0.39276703,2.31567218]]","[[[0.26920619,-0.06563619],[-0.06563619,0.26785578]],[[0.21198894,-0.03447347],[-0.03447347,0.27670168]]]"
14,"Greinke, Zack",6.092799443,9.618255702,7.851324457,"[0.16190207,0.23321336,0.60488457]","[[0.03220681,2.81316295],[0.84310522,1.72398869],[0.21657977,2.49348127]]","[[[0.23752945,-0.15601095],[-0.15601095,0.26110128]],[[0.14255002,0.06057928],[0.06057928,0.15444307]],[[0.37074329,0.12462924],[0.12462924,0.25956342]]]"
57,"Hand, Brad",5.932447805,9.433538623,7.856808248,"[0.71055228,0.28944772]","[[-0.61421373,2.48121029],[0.31431038,3.08272789]]","[[[0.33649309,0.04028123],[0.04028123,0.24746285]],[[0.08566212,-0.05816567],[-0.05816567,0.1370972]]]"
28,"Taillon, Jameson",5.408593253,9.264930005,7.857918371,"[0.40106044,0.59893956]","[[0.12207083,3.44985595],[0.25557266,2.54213499]]","[[[0.2590587,-0.08976243],[-0.08976243,0.26717764]],[[0.2556476,-0.08591089],[-0.08591089,0.24308388]]]"
165,"Corbin, Patrick",6.406033072,10.37293333,7.898566408,"[0.55511259,0.17725872,0.26762869]","[[-0.08851961,3.02135772],[-0.16093141,1.83755281],[-0.97702438,3.01819707]]","[[[0.23984961,0.04214827],[0.04214827,0.22245631]],[[0.52427058,0.00345505],[0.00345505,0.08070981]],[[0.10690435,0.10470686],[0.10470686,0.39626706]]]"
38,"Finnegan, Kyle",6.33197281,10.53281457,7.904118728,"[0.13343357,0.59981823,0.26674819]","[[0.925623,2.77268206],[-0.24308291,2.94054898],[0.47125143,1.81516047]]","[[[0.07102837,-0.11314057],[-0.11314057,0.34798425]],[[0.16316957,-0.01762586],[-0.01762586,0.47711542]],[[0.09029873,-0.01338896],[-0.01338896,0.31547221]]]"
29,"Flaherty, Jack",5.689196398,9.489977321,7.905361398,"[0.74541058,0.25458942]","[[-0.05705514,2.44076791],[0.81569178,1.70248235]]","[[[0.28849543,-0.02532281],[-0.02532281,0.28316791]],[[0.10228181,-0.03044594],[-0.03044594,0.17387494]]]"
70,"Littell, Zack",5.786187087,9.369512324,7.914177879,"[0.41587794,0.58412206]","[[-0.30129458,2.73866868],[0.35005815,3.26052823]]","[[[0.18040131,-0.09690249],[-0.09690249,0.3857983]],[[0.14544755,-0.0878345],[-0.0878345,0.34103898]]]"
158,"Weathers, Ryan",6.656256116,10.93349818,7.916163224,"[0.22684039,0.49178072,0.2813789]","[[0.98438076,2.38590676],[-0.23677166,1.98849921],[0.12652277,3.24118821]]","[[[0.18811152,-0.0222523],[-0.0222523,0.1000332]],[[0.35309209,0.01071348],[0.01071348,0.24365246]],[[0.50717193,0.03462096],[0.03462096,0.13704059]]]"
157,"Scherzer, Max",5.988898487,10.33178247,7.954966548,"[0.54058663,0.32909882,0.13031455]","[[0.38967835,2.06946843],[0.13285498,2.97193178],[-1.03935144,2.83164211]]","[[[0.28871762,-0.06780294],[-0.06780294,0.22055977]],[[0.41747665,-0.07286197],[-0.07286197,0.2011769]],[[0.10877916,-0.05229293],[-0.05229293,0.30159233]]]"
147,"Garcia, Luis",6.010237501,10.53792586,7.968014295,"[0.10703776,0.25551408,0.63744816]","[[0.93794445,1.31366773],[-0.5128794,2.93101862],[0.4142851,2.46368492]]","[[[0.11316009,0.00815277],[0.00815277,0.07334716]],[[0.10984395,0.08504832],[0.08504832,0.46477847]],[[0.20032401,0.03731417],[0.03731417,0.3243543]]]"
112,"Pagán, Emilio",6.153611752,10.1914876,7.97761213,"[0.29925661,0.5063784,0.19436498]","[[-0.23288712,2.26922654],[0.57906919,2.99422471],[0.82085917,2.07233634]]","[[[0.21273178,-0.14711375],[-0.14711375,0.29488996]],[[0.30092287,-0.08137509],[-0.08137509,0.33442923]],[[0.15921458,-0.10942305],[-0.10942305,0.15910179]]]"
134,"Bieber, Shane",5.870828706,9.788227787,8.004744849,"[0.61949967,0.38050033]","[[-0.02572271,3.13738147],[0.83645886,2.49872453]]","[[[0.2200671,-0.10376538],[-0.10376538,0.53289148]],[[0.10923246,0.00754169],[0.00754169,0.3235254]]]"
79,"Kaprielian, James",6.050701108,9.919199282,8.013218169,"[0.08250373,0.66607519,0.25142108]","[[-0.27850866,3.74286805],[0.160961,2.56716465],[1.02826203,2.40058369]]","[[[0.22987799,-0.01206762],[-0.01206762,0.031334]],[[0.30330984,0.0026904],[0.0026904,0.24966562]],[[0.15266872,-0.09219203],[-0.09219203,0.44661368]]]"
124,"Morgan, Eli",6.62498829,10.14963536,8.024401481,"[0.47762066,0.52237934]","[[-0.28524705,3.29702124],[0.61116643,2.50214991]]","[[[0.17875298,0.00659886],[0.00659886,0.43170395]],[[0.18011589,0.03786068],[0.03786068,0.44235373]]]"
169,"Brentz, Jake",5.930677767,10.67622158,8.025661243,"[0.48797951,0.23088479,0.28113571]","[[0.11617105,2.74064409],[-0.26584446,1.57375519],[-0.93191008,2.12141305]]","[[[0.34399219,0.00270918],[0.00270918,0.23499242]],[[0.42952318,0.06968472],[0.06968472,0.06155461]],[[0.26739633,-0.04807084],[-0.04807084,0.20548495]]]"
86,"Robles, Hansel",6.217742788,10.16560264,8.045965233,"[0.76003295,0.10985775,0.1301093]","[[0.19023597,2.39207467],[1.2445413,1.67702083],[-0.34611249,3.41736921]]","[[[0.28306963,0.0280318],[0.0280318,0.33791219]],[[0.03627699,-0.00458052],[-0.00458052,0.20902524]],[[0.31775698,-0.04579275],[-0.04579275,0.08548097]]]"
30,"Steckenrider, Drew",5.825891121,9.440286923,8.050802968,"[0.67814124,0.32185876]","[[0.2041004,2.84920511],[-0.68730079,3.18491445]]","[[[0.19216206,0.02117982],[0.02117982,0.33697501]],[[0.1166285,-0.00696304],[-0.00696304,0.39354693]]]"
185,"Moore, Matt",6.676503845,11.53907048,8.076645871,"[0.351219,0.19484405,0.45393695]","[[0.43011948,3.12726735],[-0.93671923,3.329363],[-0.49554854,2.07352632]]","[[[0.26452472,-0.06714783],[-0.06714783,0.2894872]],[[0.17443455,0.07926817],[0.07926817,0.19561805]],[[0.42216912,0.00182835],[0.00182835,0.19502136]]]"
53,"Bubic, Kris",6.612743048,11.10590943,8.077026695,"[0.44055163,0.12744852,0.43199985]","[[-0.29269553,1.90699835],[0.08090648,4.06727067],[-0.03615448,2.99887964]]","[[[0.33311284,-0.05559036],[-0.05559036,0.28718122]],[[0.36150749,-0.01934761],[-0.01934761,0.07326428]],[[0.33974818,-0.0227581],[-0.0227581,0.2067014]]]"
62,"Stratton, Chris",6.066529001,10.84762552,8.077494978,"[0.36187806,0.14701106,0.49111089]","[[0.41111606,2.0099004],[-0.61186089,2.78882973],[0.50205737,3.27496971]]","[[[0.25043442,-0.10478056],[-0.10478056,0.33899897]],[[0.05018927,-0.01573091],[-0.01573091,0.30728511]],[[0.17877201,-0.06381981],[-0.06381981,0.38780346]]]"
189,"Cisnero, José",6.13009854,9.880347596,8.103665506,"[0.60957828,0.39042172]","[[0.41686033,2.38586638],[-0.23638752,3.20233134]]","[[[0.43911208,0.09582217],[0.09582217,0.26870789]],[[0.23479304,-0.02078881],[-0.02078881,0.11933483]]]"
190,"McGee, Jake",5.967951461,9.548288752,8.112896381,"[0.66348306,0.33651694]","[[0.38440576,2.82829586],[-0.55075544,2.66148012]]","[[[0.21512882,0.03623158],[0.03623158,0.37414584]],[[0.11878096,0.04018194],[0.04018194,0.3551431]]]"
167,"Wheeler, Zack",4.964808531,8.147947028,8.120554751,[1],"[[0.46193798,2.55157623]]","[[[0.23477735,-0.084786],[-0.084786,0.3610241]]]"
97,"May, Trevor",6.19355129,9.718626806,8.12640297,"[0.77316671,0.22683329]","[[0.47861761,2.81226395],[0.01042931,3.83009533]]","[[[0.29229964,-0.02415686],[-0.02415686,0.30395124]],[[0.23847667,-0.00818854],[-0.00818854,0.11866711]]]"
25,"Keller, Mitch",6.277228722,10.44118847,8.161139202,"[0.2754779,0.57696582,0.14755627]","[[0.32297775,3.47131189],[0.35905564,2.32165014],[-0.41747074,2.76634512]]","[[[0.34727614,-0.15406155],[-0.15406155,0.25293321]],[[0.25147241,-0.13529356],[-0.13529356,0.38644237]],[[0.04211323,0.00309049],[0.00309049,0.49432242]]]"
101,"Kimbrel, Craig",5.957739651,9.393789955,8.161167662,"[0.17632308,0.82367692]","[[0.23623251,3.6689642],[0.49384388,2.49023259]]","[[[0.30607744,0.01550864],[0.01550864,0.03421988]],[[0.34968471,-0.02510222],[-0.02510222,0.22655811]]]"
78,"McKenzie, Triston",6.426564732,11.05781745,8.161422078,"[0.44516876,0.44407799,0.11075325]","[[0.08427143,3.57565148],[0.0118273,2.22456125],[0.86661579,2.8535659]]","[[[0.29031543,-0.04415231],[-0.04415231,0.31906221]],[[0.27728537,-0.07840551],[-0.07840551,0.28056571]],[[0.07650889,-0.11424556],[-0.11424556,0.25441715]]]"
170,"Woodruff, Brandon",5.709430375,9.406528468,8.200383734,"[0.56073913,0.43926087]","[[0.47624606,2.3265554],[0.07745401,3.13453979]]","[[[0.29897901,-0.01318205],[-0.01318205,0.26743928]],[[0.30612126,0.04692922],[0.04692922,0.23887052]]]"
194,"Smith, Burch",5.733765626,9.87295662,8.221208423,"[0.58732865,0.41267135]","[[-0.02313728,3.16447616],[0.3710373,2.19799328]]","[[[0.25137939,-0.06716443],[-0.06716443,0.33526565]],[[0.26247958,0.07763483],[0.07763483,0.31089544]]]"
100,"Gray, Jon",6.684989274,10.3357051,8.233740906,"[0.24056616,0.58157103,0.17786281]","[[-0.62140581,3.05296177],[0.43544797,2.48167769],[-0.1264492,1.74118989]]","[[[0.21578281,-0.10399159],[-0.10399159,0.2359266]],[[0.23268089,-0.10350965],[-0.10350965,0.39045299]],[[0.42418168,-0.03335307],[-0.03335307,0.15664231]]]"
67,"Lester, Jon",6.930841679,10.80203275,8.238762332,"[0.1696322,0.38539264,0.44497516]","[[-0.60012869,3.25496782],[0.05270366,2.0934018],[0.72863279,2.51074192]]","[[[0.17331891,0.07967032],[0.07967032,0.16990168]],[[0.51701717,0.06225888],[0.06225888,0.23317639]],[[0.2251793,0.08553624],[0.08553624,0.3924868]]]"
84,"Manoah, Alek",6.395036906,9.411784614,8.239016805,"[0.40494565,0.59505435]","[[0.08483005,3.39219722],[-0.11049438,2.60300913]]","[[[0.32729401,-0.20264352],[-0.20264352,0.29029048]],[[0.33478457,-0.16657081],[-0.16657081,0.23057709]]]"
83,"Stripling, Ross",6.988851353,10.738633,8.24992171,"[0.31951971,0.48761715,0.19286314]","[[-0.60251268,3.02283833],[0.30662088,3.09959327],[0.4354715,1.83053748]]","[[[0.15452461,0.02320149],[0.02320149,0.58056929]],[[0.17211128,0.05013101],[0.05013101,0.45069998]],[[0.23972993,-0.03651496],[-0.03651496,0.15290433]]]"
59,"Patiño, Luis",6.488121891,10.85684185,8.262489951,"[0.43192232,0.44363348,0.12444419]","[[0.78834989,2.47586045],[-0.2575459,2.62554135],[-0.06822284,3.47724175]]","[[[0.11994287,-0.04449159],[-0.04449159,0.30894116]],[[0.24045377,-0.10436942],[-0.10436942,0.51413945]],[[0.39038286,0.15490084],[0.15490084,0.08957905]]]"
138,"Richards, Trevor",5.993425813,9.830322247,8.265043056,"[0.09915362,0.17993413,0.72091225]","[[-0.78153951,2.8645895],[0.7246282,3.51349347],[0.23975243,2.73306706]]","[[[0.02834799,-0.02526826],[-0.02526826,0.52233868]],[[0.10504911,-0.08427435],[-0.08427435,0.27201404]],[[0.28217446,-0.19071563],[-0.19071563,0.40310455]]]"
89,"Cortes, Nestor",6.449630945,10.79937015,8.313100934,"[0.67151709,0.16072447,0.16775844]","[[0.06111943,2.51340764],[-0.00476754,3.88575408],[1.12982633,2.7566281]]","[[[0.29557111,-0.0053882],[-0.0053882,0.35082495]],[[0.2398347,0.02048821],[0.02048821,0.10429203]],[[0.06026939,-0.00351669],[-0.00351669,0.45299313]]]"
77,"Stephan, Trevor",6.429367114,10.04657838,8.331028686,"[0.42545594,0.57454406]","[[0.62503137,2.87508825],[-0.3287881,2.89081868]]","[[[0.18212906,-0.04692235],[-0.04692235,0.35031862]],[[0.26137158,-0.08743041],[-0.08743041,0.43073769]]]"
34,"Foltynewicz, Mike",6.087439035,10.41719635,8.332844184,"[0.06403505,0.03773214,0.40618383,0.49204898]","[[1.43043293,2.9558339],[-1.23215783,2.70840678],[0.35955534,1.98461289],[0.2288828,2.95325798]]","[[[0.06588728,-0.13635001],[-0.13635001,0.28353834]],[[0.01611633,0.0075356],[0.0075356,0.31460197]],[[0.37409004,-0.0730629],[-0.0730629,0.17866987]],[[0.33597919,-0.00617944],[-0.00617944,0.2599512]]]"
141,"Cueto, Johnny",5.975303488,9.792661086,8.356035483,"[0.57742223,0.42257777]","[[0.08076356,3.40457767],[0.10476444,2.41030535]]","[[[0.30756368,-0.05546617],[-0.05546617,0.27521169]],[[0.43041886,-0.05104323],[-0.05104323,0.17828344]]]"
95,"Diekman, Jake",6.774688426,10.64198635,8.367036726,"[0.06730751,0.19881593,0.73387656]","[[-1.29062575,2.09657965],[0.46948371,3.97826551],[0.12066887,2.73768339]]","[[[0.03852299,0.03644012],[0.03644012,0.13416427]],[[0.46287905,0.07221456],[0.07221456,0.07142358]],[[0.37963132,0.07713629],[0.07713629,0.21853548]]]"
174,"Peralta, Freddy",6.46360343,9.72326178,8.384954625,"[0.54522952,0.45477048]","[[-0.12020183,2.69919462],[0.75849141,2.6061704]]","[[[0.2591382,-0.01247843],[-0.01247843,0.37965103]],[[0.24766067,-0.02267646],[-0.02267646,0.28995309]]]"
192,"Kremer, Dean",5.822493292,10.58999771,8.387860312,"[0.19645184,0.73099461,0.07255355]","[[0.79676705,2.1185901],[-0.13196325,2.87485247],[0.16781854,4.08847102]]","[[[0.08664992,0.07454284],[0.07454284,0.35885698]],[[0.21242731,-0.09308514],[-0.09308514,0.44023756]],[[0.25269181,0.01934979],[0.01934979,0.0141273]]]"
153,"Mize, Casey",6.224156113,11.28720742,8.388703034,"[0.33519411,0.48943511,0.17537078]","[[0.16059087,2.25655256],[0.2623484,3.56074345],[1.16271201,2.1940348]]","[[[0.2644161,-0.11741982],[-0.11741982,0.14840986]],[[0.35494707,-0.02789457],[-0.02789457,0.31113387]],[[0.18404316,-0.14910533],[-0.14910533,0.36606675]]]"
151,"Lynch, IV, Daniel",6.970708378,10.34481255,8.391895796,"[0.31599658,0.68400342]","[[-0.36636738,2.22880171],[-0.03039249,3.35769027]]","[[[0.35602106,0.00163299],[0.00163299,0.19470303]],[[0.30518038,0.00221425],[0.00221425,0.36402539]]]"
33,"Wittgren, Nick",6.480530449,9.837599175,8.399707093,"[0.78285712,0.14242589,0.07471699]","[[0.09753477,2.42563096],[0.84030205,1.94430721],[0.02979056,3.65029959]]","[[[0.40977905,-0.10322488],[-0.10322488,0.26777916]],[[0.01850808,0.02735285],[0.02735285,0.11899873]],[[0.60160988,-0.09362834],[-0.09362834,0.02685532]]]"
21,"Bickford, Phil",5.738304924,9.995094974,8.403410109,"[0.60235826,0.39764174]","[[0.35548946,2.11056521],[0.20575982,3.12145005]]","[[[0.3495499,-0.11136883],[-0.11136883,0.28576331]],[[0.25564873,-0.1297571],[-0.1297571,0.30242028]]]"
210,"Glasnow, Tyler",6.21850187,10.30374444,8.407238369,"[0.75064113,0.24935887]","[[0.17281094,2.99072394],[0.4014262,1.70036319]]","[[[0.26406232,-0.11697814],[-0.11697814,0.41938233]],[[0.34455199,-0.05258244],[-0.05258244,0.1926014]]]"
5,"Widener, Taylor",7.058351371,10.10879658,8.426809367,"[0.7519993,0.2480007]","[[0.48195715,2.30370617],[-0.55441528,2.72220271]]","[[[0.3082037,-0.01187614],[-0.01187614,0.33097559]],[[0.22486109,0.01616683],[0.01616683,0.13799603]]]"
149,"Walker, Taijuan",6.630830022,9.963634188,8.430451312,"[0.53660073,0.46339927]","[[0.27633074,3.19208566],[0.36017548,2.18482667]]","[[[0.32283039,-0.05427131],[-0.05427131,0.25429335]],[[0.34716081,-0.06196361],[-0.06196361,0.28926071]]]"
106,"Kershaw, Clayton",6.216200052,10.65928709,8.434427285,"[0.35116552,0.64883448]","[[-0.41043408,1.69742379],[-0.24567463,2.94786513]]","[[[0.32930552,0.04744077],[0.04744077,0.16098858]],[[0.30028042,0.08209763],[0.08209763,0.35038147]]]"
4,"Morton, Charlie",5.945625607,10.12112294,8.435130105,"[0.11123077,0.12104182,0.76772741]","[[0.54615785,1.63309294],[-0.5463339,2.11271231],[0.33521077,2.73660774]]","[[[0.31670829,-0.07926157],[-0.07926157,0.05404527]],[[0.04710928,-0.02060073],[-0.02060073,0.23855714]],[[0.42070844,-0.09641892],[-0.09641892,0.29571409]]]"
94,"Javier, Cristian",6.246989569,10.24817013,8.480426212,"[0.54432818,0.45567182]","[[-0.08025213,3.449387],[0.24739337,2.33948983]]","[[[0.35932092,-0.01012647],[-0.01012647,0.2965166]],[[0.33979505,0.01051045],[0.01051045,0.20978083]]]"
72,"Musgrove, Joe",5.961286494,10.24853101,8.490185706,"[0.17273929,0.19153982,0.06938798,0.56633291]","[[0.78249779,3.0291733],[-0.25706023,2.3109754],[0.89769424,1.82277665],[0.0619618,2.71008581]]","[[[0.29715824,-0.28515916],[-0.28515916,0.3707718]],[[0.23949028,0.03074752],[0.03074752,0.32463322]],[[0.01163622,0.00185122],[0.00185122,0.01110393]],[[0.3491208,-0.29225788],[-0.29225788,0.45638752]]]"
26,"Green, Chad",6.109825724,10.30985109,8.49325742,"[0.51683499,0.48316501]","[[0.25547409,2.33324722],[-0.09573051,3.30425036]]","[[[0.37537045,-0.01003804],[-0.01003804,0.26894868]],[[0.2952113,-0.0445235],[-0.0445235,0.23374277]]]"
107,"Santana, Ervin",6.308573612,11.41240213,8.529918588,"[0.32880755,0.58102269,0.09016976]","[[0.83175864,1.89851989],[0.04450808,2.84250642],[-1.18486425,3.38876526]]","[[[0.16757754,-0.08686463],[-0.08686463,0.20609652]],[[0.35631087,0.03759607],[0.03759607,0.38724803]],[[0.03342783,-0.02800411],[-0.02800411,0.23852485]]]"
176,"Gutierrez, Vladimir",6.258301495,10.55731432,8.53212081,"[0.35181361,0.64818639]","[[0.91311623,2.48439313],[-0.25654023,2.78512147]]","[[[0.13544044,-0.03888708],[-0.03888708,0.34146611]],[[0.25823277,0.0072789],[0.0072789,0.39341546]]]"
80,"Stanek, Ryne",6.489964631,10.85039181,8.536054023,"[0.43033128,0.56966872]","[[0.27273855,3.56018259],[0.38380702,2.36855164]]","[[[0.45093758,-0.0038377],[-0.0038377,0.19189604]],[[0.29554797,0.01102295],[0.01102295,0.28913104]]]"
208,"deGrom, Jacob",5.258188737,8.611770979,8.581539134,[1],"[[0.58179487,2.70527066]]","[[[0.2179616,-0.07919123],[-0.07919123,0.45839744]]]"
126,"Sulser, Cole",5.842758451,10.29190625,8.609173486,"[0.24712043,0.75287957]","[[0.24627668,2.03778467],[0.34130233,3.26559827]]","[[[0.3816444,-0.15658147],[-0.15658147,0.16223433]],[[0.2653276,-0.16746413],[-0.16746413,0.45613489]]]"
110,"Suarez, José",6.515332876,11.58034082,8.6518576,"[0.36464369,0.3522578,0.28309851]","[[-0.40640335,2.03945229],[-0.02239034,3.19245213],[0.77697747,2.47079974]]","[[[0.20617731,0.08289077],[0.08289077,0.31467297]],[[0.43621551,0.08419454],[0.08419454,0.26806092]],[[0.17446382,-0.00782588],[-0.00782588,0.43491166]]]"
55,"Luzardo, Jesús",7.079155541,11.56634663,8.662701962,"[0.10223847,0.11178923,0.10511089,0.68086142]","[[-1.26405586,2.03997721],[1.10459032,3.28338632],[0.67666178,1.66060066],[-0.22275181,2.6282144]]","[[[0.0207716,0.02067386],[0.02067386,0.55001914]],[[0.04529524,-0.02467419],[-0.02467419,0.27428909]],[[0.18456552,-0.01473648],[-0.01473648,0.17027291]],[[0.19017735,0.03196967],[0.03196967,0.48688531]]]"
36,"Zimmermann, Bruce",7.067409807,11.65938793,8.662781089,"[0.1779497,0.45723518,0.36481512]","[[-0.4761418,2.10254226],[0.22695914,3.31559624],[-0.76673073,3.30801511]]","[[[0.48203351,-0.09874029],[-0.09874029,0.12785923]],[[0.22194942,-0.08608009],[-0.08608009,0.47362414]],[[0.10953875,-0.08828765],[-0.08828765,0.43446808]]]"
114,"Gallegos, Giovanny",6.914191437,10.78503098,8.668089243,"[0.11658896,0.59285936,0.29055168]","[[-0.010154,1.57959135],[0.11354556,2.47665575],[0.24493851,3.4705078]]","[[[0.48747714,0.2385222],[0.2385222,0.23461227]],[[0.34920931,-0.17111189],[-0.17111189,0.27899586]],[[0.31640182,-0.01213445],[-0.01213445,0.24079291]]]"
180,"Kikuchi, Yusei",6.968543844,11.58495042,8.703909395,"[0.45899986,0.38361015,0.15738999]","[[-0.29527971,2.08163105],[0.48097509,2.63678239],[0.3879262,3.67890895]]","[[[0.32868215,-0.11606317],[-0.11606317,0.34176565]],[[0.33500431,-0.07919373],[-0.07919373,0.22027017]],[[0.42463654,-0.09806438],[-0.09806438,0.13267727]]]"
1,"Hembree, Heath",6.386036628,10.36885075,8.723592035,"[0.74966329,0.25033671]","[[0.63700007,2.52026025],[-0.49512759,2.79189687]]","[[[0.26553312,-0.02020174],[-0.02020174,0.36160122]],[[0.08133077,0.05864888],[0.05864888,0.53837228]]]"
65,"De, Los, Santos, Enyel",5.881440505,10.06616354,8.751369411,"[0.18681363,0.81318637]","[[0.7466794,2.33558672],[-0.28599847,3.0423234]]","[[[0.05319766,0.06027062],[0.06027062,0.46732847]],[[0.36003387,-0.06195162],[-0.06195162,0.3226077]]]"
88,"Gray, Josiah",6.366774422,11.18951328,8.75453004,"[0.11919592,0.64216297,0.23864112]","[[0.65141032,1.41010677],[0.0220188,3.0819045],[-0.49330898,2.32960499]]","[[[0.14649624,0.02534095],[0.02534095,0.07605314]],[[0.46229903,-0.13467613],[-0.13467613,0.38616631]],[[0.17447237,0.0232226],[0.0232226,0.22710214]]]"
116,"Hernández, Darwinzon",6.348907973,10.18623579,8.774312561,"[0.29864047,0.70135953]","[[-0.7652131,2.28606343],[0.12762784,2.74632071]]","[[[0.10375127,0.03796352],[0.03796352,0.51882138]],[[0.29828503,0.1203237],[0.1203237,0.40536946]]]"
42,"Sale, Chris",6.55535342,10.85444829,8.781648317,"[0.58289603,0.41710397]","[[-0.32861009,2.85527627],[0.7631062,3.3122961]]","[[[0.23776857,0.01818963],[0.01818963,0.40547348]],[[0.18679771,-0.05472415],[-0.05472415,0.39540717]]]"
19,"Boxberger, Brad",6.704891943,11.02863613,8.830335822,"[0.51789737,0.48210263]","[[0.51074898,1.96742454],[-0.11850369,2.86708632]]","[[[0.22284032,-0.04856846],[-0.04856846,0.25409316]],[[0.36640092,0.04008394],[0.04008394,0.33920801]]]"
24,"Givens, Mychal",5.869760809,8.908066055,8.865167411,[1],"[[0.30527027,2.68972973]]","[[[0.39674394,-0.07054587],[-0.07054587,0.27783066]]]"
69,"Hudson, Daniel",6.357654184,10.67415124,8.881410615,"[0.55171737,0.44828263]","[[-0.13388458,2.72925886],[0.97591812,2.52029994]]","[[[0.28543626,-0.14976534],[-0.14976534,0.52423825]],[[0.15227155,-0.13849255],[-0.13849255,0.42894575]]]"
0,"Smith, Will",6.742878863,11.19000698,8.893692419,"[0.59412997,0.40587003]","[[0.71752401,2.65938056],[-0.45267285,2.5570295]]","[[[0.21154301,0.01510037],[0.01510037,0.48854206]],[[0.25854785,-0.00420392],[-0.00420392,0.44266452]]]"
51,"Duffey, Tyler",6.264225476,11.04769776,8.908428765,"[0.55158465,0.44841535]","[[0.56267929,2.87939236],[-0.65796481,2.57712028]]","[[[0.24082625,-0.11208426],[-0.11208426,0.37763291]],[[0.26764055,-0.14671468],[-0.14671468,0.52236957]]]"
120,"Crowe, Wil",6.801976491,11.45187477,8.914499397,"[0.57969311,0.42030689]","[[0.79259603,1.95725973],[-0.09447149,2.93557193]]","[[[0.24190706,-0.00185163],[-0.00185163,0.3513622]],[[0.28936829,0.08617066],[0.08617066,0.41364889]]]"
