,Pitcher,NinetyFive,Five,"Median,Control",Pis,Mus,Covariances
143,"Eovaldi, Nathan",5.771892657,9.478470898,6.941567092,"[0.21631149,0.29042441,0.4932641]","[[0.95720103,2.41862766],[0.10281318,3.44297579],[-0.12373867,2.51661919]]","[[[0.09646066,-0.02689278],[-0.02689278,0.16090299]],[[0.31994786,-0.04368177],[-0.04368177,0.13376242]],[[0.2220579,-0.05060064],[-0.05060064,0.20506648]]]"
22,"Buehler, Walker",5.507812593,9.85339497,6.955940658,"[0.34781016,0.28500517,0.36718467]","[[0.64274365,2.06041326],[-0.01007144,2.58368785],[0.25647682,3.41423437]]","[[[0.12782355,0.03832759],[0.03832759,0.26340768]],[[0.18728271,0.02608347],[0.02608347,0.21088487]],[[0.23696723,-0.04898071],[-0.04898071,0.22224385]]]"
39,"Rodriguez, Eduardo",5.929138504,10.33325901,6.979754894,"[0.30342505,0.26689437,0.30234012,0.12734047]","[[-0.36921277,3.19284014],[0.56190264,3.19210811],[0.12106144,2.361514],[0.77201022,4.07779925]]","[[[0.15000972,0.01834478],[0.01834478,0.30598725]],[[0.22248005,-0.1214617],[-0.1214617,0.21536034]],[[0.26237314,0.04105838],[0.04105838,0.19888135]],[[0.14302088,-0.07445568],[-0.07445568,0.11651791]]]"
82,"Odorizzi, Jake",5.324879832,9.046124511,7.033952524,"[0.46965,0.46191805,0.06843194]","[[0.62490816,3.11649892],[-0.25912303,3.26285237],[0.07736901,2.38398919]]","[[[0.16110919,-0.07067509],[-0.07067509,0.34674013]],[[0.09296537,-0.03699473],[-0.03699473,0.26883088]],[[0.25336462,0.07857796],[0.07857796,0.09406078]]]"
184,"Heaney, Andrew",5.943707848,8.922221713,7.061138279,"[0.16898912,0.14512471,0.30577233,0.38011384]","[[-0.39075221,2.76987214],[-0.19132875,3.86152535],[0.56371316,3.37778913],[0.51441974,2.3472575]]","[[[0.16885175,-0.03218052],[-0.03218052,0.11426717]],[[0.17837288,0.05816001],[0.05816001,0.11156041]],[[0.21596617,0.06315198],[0.06315198,0.20196347]],[[0.3148958,0.0678181],[0.0678181,0.20798779]]]"
35,"Ryu, Hyun, Jin",5.978733589,8.906454515,7.093497228,"[0.39815234,0.27709933,0.32474833]","[[0.15326973,3.42132439],[-0.76774344,2.38293442],[0.59082562,2.31233764]]","[[[0.23931762,0.03199019],[0.03199019,0.18924169]],[[0.14559286,-0.0043471],[-0.0043471,0.29815133]],[[0.16991444,0.02484621],[0.02484621,0.21430173]]]"
64,"Mahle, Tyler",6.140905103,10.71988683,7.127442468,"[0.28530227,0.09398366,0.42493476,0.1957793]","[[0.84232424,2.26191976],[0.38672399,3.07066823],[-0.11788152,2.51595047],[-0.23067153,3.78962093]]","[[[0.14148051,-0.04754036],[-0.04754036,0.23576935]],[[0.16476853,0.0079779],[0.0079779,0.02334885]],[[0.28497225,-0.12834895],[-0.12834895,0.27029571]],[[0.31082136,-0.05276635],[-0.05276635,0.16047748]]]"
71,"Gausman, Kevin",5.564691372,9.67028815,7.163830914,"[0.45683667,0.1773026,0.36586073]","[[-0.02134729,2.32930389],[0.47641931,1.59943181],[-0.22732842,3.09747457]]","[[[0.27617704,0.04749154],[0.04749154,0.20027398]],[[0.16137258,-0.00218766],[-0.00218766,0.16017326]],[[0.26714435,-0.01726752],[-0.01726752,0.17272654]]]"
148,"Rodón, Carlos",6.014048362,10.20303359,7.171027022,"[0.1814565,0.21706773,0.3787925,0.22268326]","[[-0.32947,2.00579824],[0.70567778,3.53563598],[-0.25759604,3.05363472],[0.58131037,2.86367811]]","[[[0.30889326,0.00153949],[0.00153949,0.13326113]],[[0.17224446,0.00907198],[0.00907198,0.21110756]],[[0.21111062,-0.05738351],[-0.05738351,0.32723854]],[[0.13392916,-0.11099034],[-0.11099034,0.27106552]]]"
132,"Skubal, Tarik",6.104595217,9.844088826,7.178003062,"[0.05674863,0.20772512,0.35635677,0.37916947]","[[-0.00578955,4.25073692],[-0.38728333,2.36190366],[0.54943342,2.85942806],[-0.39436886,3.09483695]]","[[[0.35654269,0.02629995],[0.02629995,0.01583968]],[[0.14508084,0.02132946],[0.02132946,0.1898884]],[[0.16575111,0.01835691],[0.01835691,0.3673764]],[[0.17351839,0.0690489],[0.0690489,0.23323972]]]"
16,"Urquidy, José",5.633480626,8.873601985,7.183643879,"[0.5315461,0.06789934,0.40055456]","[[0.00724952,3.13969253],[1.10008781,2.83373487],[0.01814175,2.21658454]]","[[[0.18485971,-0.03920795],[-0.03920795,0.22760727]],[[0.02002183,-0.06537166],[-0.06537166,0.48116115]],[[0.27021618,-0.04620497],[-0.04620497,0.17896996]]]"
152,"Pineda, Michael",5.891503924,9.322871415,7.196976751,"[0.50818449,0.13822461,0.3535909]","[[0.79323183,2.35921857],[-0.38233575,3.18396463],[-0.05989425,2.27706962]]","[[[0.15641604,-0.01541438],[-0.01541438,0.3755486]],[[0.10645761,0.02609573],[0.02609573,0.0970921]],[[0.19573088,0.04159065],[0.04159065,0.21352069]]]"
20,"Suter, Brent",5.554364088,9.633505567,7.240382484,"[0.19547387,0.4698661,0.33466003]","[[0.52471788,2.86058987],[0.02379113,3.53965912],[-0.08834966,2.40843206]]","[[[0.15766235,0.0568662],[0.0568662,0.10046826]],[[0.30866028,0.09071181],[0.09071181,0.15281179]],[[0.35568763,-0.00301143],[-0.00301143,0.20572736]]]"
45,"Gallen, Zac",5.975703581,10.16797194,7.254514137,"[0.54370658,0.29357932,0.1627141]","[[0.38083199,2.60554223],[0.54158781,1.59755044],[-0.80851642,2.42156531]]","[[[0.255539,-0.03368375],[-0.03368375,0.2212803]],[[0.30990722,0.0013145],[0.0013145,0.09419677]],[[0.10078914,0.02279784],[0.02279784,0.386264]]]"
136,"Happ, J.A.",6.607481383,9.407098338,7.303058173,"[0.08527806,0.09738928,0.23726689,0.31532991,0.26473586]","[[-0.10268451,1.50694685],[1.29826731,2.8414754],[-0.03302196,3.60674322],[-0.41372115,2.65893726],[0.65630172,2.44548048]]","[[[0.35169717,-0.011364],[-0.011364,0.04524246]],[[0.04294144,-0.00713782],[-0.00713782,0.3957393]],[[0.34642609,0.07818617],[0.07818617,0.21817624]],[[0.18133015,0.00072344],[0.00072344,0.30451599]],[[0.16935121,-0.06950622],[-0.06950622,0.2632887]]]"
183,"Miley, Wade",5.936495258,9.88131592,7.304099041,"[0.40950261,0.59049739]","[[-0.63612605,1.96578665],[-0.32015413,3.23133713]]","[[[0.14848892,-0.04965245],[-0.04965245,0.23497549]],[[0.18261725,0.02064575],[0.02064575,0.35248789]]]"
