Pitcher,Control,Year,Z
"Gray, Jon",7.822416604,2021,0.399076106
"Walker, Taijuan",7.828525997,2022,0.391479287
"Rasmussen, Drew",7.834679659,2022,0.38382742
"Peralta, Freddy",7.844962711,2021,0.3710408
"Senzatela, Antonio",7.845117458,2022,0.370848378
"Gonsolin, Tony",7.849649428,2023,0.36521303
"Seabold, Connor",7.853752616,2023,0.360110857
"Flaherty, Jack",7.856148345,2021,0.357131851
"Gore, MacKenzie",7.86633403,2023,0.344466303
"Kirby, George",7.867321203,2023,0.343238788
"Montas, Frankie",7.869287858,2021,0.34079332
"McKenzie, Triston",7.87211866,2022,0.337273315
"Anderson, Ian",7.874219669,2021,0.334660783
"Miller, Bryce",7.882007673,2023,0.324976669
"Urquidy, José",7.8843934,2021,0.3220101
"Medina, Luis",7.887140052,2023,0.318594733
"Mize, Casey",7.898834995,2021,0.304052475
"Gonzales, Marco",7.904360659,2022,0.297181503
"Bednar, David",7.914243347,2023,0.284892722
"Sears, JP",7.9145921,2023,0.284459059
"Williams, Gavin",7.916795936,2023,0.281718665
"Flexen, Chris",7.929109047,2021,0.266407737
"Kremer, Dean",7.93154932,2022,0.263373342
"Bieber, Shane",7.931733408,2021,0.263144435
"Lynn, Lance",7.9328144,2022,0.261800258
"Green, Chad",7.93815921,2021,0.255154172
"Voth, Austin",7.970362389,2022,0.215110631
"Glasnow, Tyler",7.970584067,2020,0.214834982
"Gray, Jon",7.979458027,2023,0.203800519
"Vest, Will",7.981971868,2022,0.200674644
"Gray, Jon",7.983081747,2022,0.199294548
"Steckenrider, Drew",7.983315868,2021,0.199003427
"Lyles, Jordan",7.98449746,2021,0.197534158
"Gonsolin, Tony",7.986145568,2022,0.195484792
"Carrasco, Carlos",7.988239831,2022,0.192880649
"Lyles, Jordan",7.988872817,2022,0.192093552
"Wells, Tyler",7.989878542,2022,0.190842968
"Harvey, Matt",7.990439413,2021,0.190145544
"Bubic, Kris",7.993365662,2022,0.186506855
"Morgan, Eli",8.00726925,2021,0.169218223
"McKenzie, Triston",8.015786994,2021,0.158626703
"Bundy, Dylan",8.021256169,2022,0.151825972
"Pallante, Andre",8.029257514,2022,0.141876576
"Pivetta, Nick",8.036171157,2021,0.1332797
"Rogers, Trevor",8.04320291,2021,0.124535958
"Cole, Gerrit",8.045914213,2020,0.121164546
"Lugo, Seth",8.056676413,2023,0.107782122
"Márquez, Germán",8.063643137,2022,0.099119241
"Javier, Cristian",8.071248109,2021,0.089662721
